customer_id,days_since_purchase,orders_12m,spend_12m,email_open_rate,sms_opt_in,web_visits_30d,household_segment,preferred_category,campaign_channel,responded_30d
M00153,50,11,1010.86,0.064,Yes,13,Young household,Grocery,SMS,1
M00154,47,6,501.63,0.42,No,5,Retired,Grocery,Direct mail,0
M00155,124,3,123.08,0.059,Yes,3,Retired,Apparel,Direct mail,0
M00156,95,11,933.6,0.182,Yes,13,Family,Grocery,Paid social,1
M00157,14,12,431.84,0,No,14,Family,Beauty,Paid social,0
M00158,107,10,561.76,0.227,Yes,13,Established,Beauty,Paid social,0
M00159,133,3,158.24,0.519,No,5,Retired,Home,Direct mail,0
M00160,124,6,150.62,0.285,No,5,Established,Home,Direct mail,0
M00161,84,9,591.02,0.005,No,6,Family,Electronics,SMS,1
M00162,17,7,621.34,0.228,Yes,9,Urban single,Home,SMS,1
M00163,41,8,386,0.394,No,8,Urban single,Beauty,Direct mail,1
M00164,130,11,156.33,0.172,Yes,8,Established,Grocery,Direct mail,0
M00165,30,6,303.66,0.066,Yes,6,Urban single,Home,Paid social,0
M00166,95,5,317.21,0.074,No,9,Family,Home,Paid social,0
M00167,86,9,758.81,0.292,No,13,Established,Grocery,Direct mail,1
M00168,32,12,682.99,0.29,Yes,13,Urban single,Electronics,SMS,1
M00169,83,10,656.69,0.249,No,9,Established,Grocery,Direct mail,1
M00170,60,5,404.88,0.148,No,6,Established,Home,Paid social,1
M00171,75,11,397.37,0.293,Yes,7,Family,Home,Direct mail,0
M00172,116,7,466.93,0.298,Yes,8,Young household,Grocery,Direct mail,0
M00173,10,7,705.4,0.258,No,11,Urban single,Home,SMS,1
M00174,45,12,997.42,0.244,Yes,10,Urban single,Apparel,SMS,1
M00175,15,15,674.27,0.091,No,16,Urban single,Apparel,Direct mail,1
M00176,129,10,366.38,0.204,Yes,13,Urban single,Grocery,SMS,1
M00177,1,12,227.89,0.278,No,15,Family,Apparel,Email,0
M00178,50,12,668.44,0,Yes,13,Family,Electronics,SMS,0
M00179,51,6,222.63,0.185,No,6,Retired,Electronics,Direct mail,0
M00180,116,12,377.08,0.456,No,15,Young household,Home,Direct mail,1
M00181,111,2,26.84,0.146,Yes,0,Established,Home,Direct mail,0
M00182,60,8,308.82,0.296,Yes,10,Urban single,Grocery,Paid social,1
M00183,6,7,476.54,0.338,No,11,Retired,Home,Paid social,0
M00184,95,7,303.75,0.401,No,5,Urban single,Electronics,SMS,1
M00185,114,7,557.74,0.153,No,11,Established,Grocery,Paid social,0
M00186,3,12,533.9,0.378,No,9,Retired,Beauty,Direct mail,1
M00187,74,13,552.53,0.329,Yes,14,Young household,Beauty,Paid social,1
M00188,87,2,150.05,0.525,No,8,Retired,Grocery,Paid social,0
M00189,43,6,290.27,0.298,Yes,9,Established,Home,Direct mail,1
M00190,143,11,800.05,0.459,No,13,Urban single,Home,Paid social,1
M00191,106,10,819.02,0.212,No,12,Urban single,Electronics,Paid social,0
M00192,28,14,988.81,0,No,11,Retired,Grocery,SMS,1
M00193,24,5,352.12,0.174,No,11,Family,Electronics,Paid social,1
M00194,75,16,456.31,0.317,Yes,15,Retired,Grocery,Email,1
M00195,104,9,108,0.19,No,6,Established,Apparel,SMS,0
M00196,100,10,803.76,0.258,No,9,Family,Electronics,SMS,1
M00197,14,11,857.29,0.115,No,12,Retired,Apparel,Direct mail,1
M00198,53,12,266.37,0.427,No,13,Established,Beauty,Email,1
M00199,11,7,406.64,0.354,No,10,Established,Grocery,Direct mail,1
M00200,24,15,956.24,0.503,Yes,13,Young household,Beauty,SMS,1
M00201,135,7,244.52,0.418,Yes,5,Young household,Electronics,SMS,1
M00202,84,12,475.86,0,No,15,Young household,Beauty,SMS,0
M00203,30,7,318.45,0.246,No,13,Urban single,Beauty,Paid social,0
M00204,98,5,342.76,0.231,No,12,Established,Apparel,Email,0
M00205,49,6,72,0.466,Yes,6,Young household,Grocery,SMS,1
M00206,117,2,49.01,0.213,No,4,Family,Apparel,Paid social,0
M00207,10,8,372.18,0,Yes,9,Urban single,Apparel,Paid social,1
M00208,44,15,539.48,0.308,Yes,16,Family,Grocery,Email,1
M00209,63,7,419.01,0,No,11,Urban single,Electronics,Email,0
M00210,40,14,778.92,0,No,16,Young household,Electronics,SMS,0
M00211,17,7,367.3,0.126,Yes,9,Established,Apparel,Paid social,1
M00212,31,15,765.46,0.299,Yes,14,Established,Electronics,Direct mail,1
M00213,123,9,652.62,0.414,No,9,Established,Grocery,Email,0
M00214,90,12,511.11,0.266,Yes,10,Family,Home,SMS,0
M00215,41,14,602.02,0.386,Yes,13,Young household,Grocery,Paid social,1
M00216,22,14,1117.09,0.403,No,14,Retired,Electronics,Email,1
M00217,7,9,537.4,0.112,No,6,Family,Grocery,SMS,1
M00218,114,7,399.64,0.455,No,4,Retired,Electronics,Email,0
M00219,30,10,653.18,0.454,No,8,Retired,Beauty,Email,1
M00220,17,13,1578.09,0.31,Yes,17,Retired,Grocery,Direct mail,1
M00221,115,5,265.53,0.196,Yes,6,Young household,Apparel,SMS,0
M00222,99,5,235.25,0.165,No,5,Established,Beauty,Direct mail,0
M00223,140,3,207.59,0.403,Yes,6,Young household,Apparel,SMS,1
M00224,116,4,150.36,0.297,Yes,7,Retired,Apparel,Paid social,1
M00225,59,12,490.4,0.416,Yes,12,Family,Grocery,Paid social,0
M00226,81,8,288.36,0.022,Yes,7,Urban single,Grocery,SMS,0
M00227,40,14,1289.44,0.324,Yes,16,Established,Electronics,SMS,1
M00228,28,8,307.97,0.119,Yes,7,Urban single,Electronics,Direct mail,0
M00229,124,7,640.38,0.134,Yes,6,Established,Grocery,SMS,1
M00230,21,14,870.69,0.345,No,17,Retired,Beauty,Direct mail,1
M00231,55,9,176.73,0.458,No,8,Young household,Beauty,SMS,1
M00232,128,6,368.04,0.252,Yes,4,Young household,Beauty,Email,1
M00233,101,7,560.9,0.235,No,11,Urban single,Electronics,Email,1
M00234,132,8,513.95,0.21,Yes,11,Established,Electronics,Email,0
M00235,128,12,302.73,0.264,No,13,Young household,Grocery,Direct mail,1
M00236,146,7,393.95,0.224,No,8,Established,Grocery,Direct mail,0
M00237,83,7,267.82,0.389,No,7,Urban single,Grocery,Email,0
M00238,93,4,134.73,0,Yes,5,Urban single,Beauty,Email,0
M00239,2,8,469.95,0.083,Yes,13,Family,Apparel,SMS,1
M00240,35,6,431.91,0.09,Yes,8,Urban single,Grocery,SMS,0
M00241,64,11,341.4,0.261,Yes,14,Retired,Grocery,Email,1
M00242,129,15,1021.72,0,No,14,Urban single,Electronics,SMS,1
M00243,125,6,356.69,0.372,No,8,Family,Beauty,Paid social,1
M00244,122,10,300.24,0.516,No,12,Retired,Home,Email,0
M00245,146,9,550.13,0,No,12,Established,Beauty,Direct mail,0
M00246,148,7,356.68,0.258,No,9,Retired,Electronics,SMS,1
M00247,109,4,254.26,0.323,No,7,Young household,Electronics,Email,0
M00248,77,6,449.65,0.134,No,5,Family,Apparel,SMS,0
M00249,102,8,455.73,0.239,No,11,Family,Apparel,Direct mail,0
M00250,138,3,36,0.098,Yes,3,Established,Electronics,Paid social,0
M00251,89,8,422.36,0.412,Yes,7,Young household,Apparel,SMS,0
M00252,71,7,554.13,0,No,7,Family,Grocery,Direct mail,0
M00253,23,8,627.8,0.432,No,10,Urban single,Electronics,Direct mail,1
M00254,150,12,764.61,0.26,No,10,Young household,Beauty,SMS,1
M00255,110,7,406.71,0.233,Yes,10,Established,Grocery,SMS,0
M00256,49,12,704.23,0.018,Yes,15,Established,Home,SMS,1
M00257,47,6,462.18,0.305,Yes,9,Established,Beauty,Paid social,1
M00258,74,8,315.71,0.296,No,7,Established,Home,Email,1
M00259,83,13,821.19,0.052,Yes,9,Retired,Electronics,SMS,1
M00260,49,5,389.3,0,No,10,Family,Grocery,Paid social,1
M00261,120,5,357.54,0.067,No,8,Urban single,Electronics,Paid social,0
M00262,17,10,372.96,0.277,No,11,Retired,Beauty,Email,1
M00263,95,13,616.32,0,No,17,Young household,Grocery,Email,1
M00264,77,10,713.27,0.55,Yes,8,Established,Beauty,Email,0
M00265,93,4,242.46,0.12,Yes,8,Retired,Apparel,Paid social,0
M00266,148,5,321.99,0.325,Yes,9,Urban single,Beauty,Email,0
M00267,35,12,386.16,0.312,Yes,14,Retired,Apparel,SMS,1
M00268,24,15,627.79,0.434,No,18,Established,Apparel,SMS,1
M00269,142,1,62.04,0,Yes,10,Family,Home,SMS,0
M00270,126,3,69.92,0.164,Yes,4,Established,Electronics,Email,0
M00271,96,12,1145.66,0.496,Yes,12,Retired,Apparel,Email,0
M00272,67,13,1150.67,0.424,Yes,13,Young household,Home,Email,0
M00273,30,15,328.28,0.062,No,15,Urban single,Beauty,Direct mail,1
M00274,11,8,131.76,0.189,No,11,Young household,Electronics,Direct mail,0
M00275,110,6,74.25,0.085,No,8,Family,Home,Paid social,1
M00276,23,7,390.69,0,No,11,Retired,Home,SMS,1
M00277,48,7,168.09,0.13,No,13,Young household,Electronics,SMS,0
M00278,142,3,109.39,0.23,No,4,Urban single,Apparel,Email,0
M00279,78,14,551.01,0.164,No,10,Established,Beauty,Email,1
M00280,51,11,314.69,0.178,Yes,9,Young household,Grocery,SMS,1
M00281,94,4,292.62,0.102,Yes,1,Urban single,Beauty,Direct mail,1
M00282,79,5,377.49,0.378,No,9,Established,Apparel,SMS,1
M00283,118,9,143,0.344,No,12,Established,Electronics,SMS,0
M00284,139,3,277.08,0.399,No,5,Urban single,Beauty,Email,0
M00285,18,8,498.92,0.014,Yes,9,Family,Apparel,Paid social,1
M00286,81,12,840.71,0,Yes,8,Retired,Grocery,Email,1
M00287,77,9,729.85,0.136,Yes,7,Urban single,Apparel,Paid social,0
M00288,138,6,317.31,0.239,No,5,Young household,Electronics,Email,0
M00289,127,9,450.96,0.178,Yes,12,Urban single,Grocery,SMS,1
M00290,4,15,1010.23,0.609,No,15,Young household,Electronics,Email,0
M00291,123,7,584.82,0.428,No,6,Retired,Apparel,Paid social,0
M00292,39,8,327.5,0.052,No,7,Retired,Grocery,Direct mail,1
M00293,105,7,425.42,0.124,No,5,Retired,Beauty,Email,0
M00294,25,13,906.39,0.45,No,12,Urban single,Grocery,Email,1
M00295,110,7,394.83,0.175,No,9,Established,Home,SMS,1
M00296,8,14,453.36,0.312,No,16,Young household,Apparel,Paid social,1
M00297,145,2,82.83,0.448,No,5,Urban single,Electronics,Paid social,0
M00298,89,7,220.62,0,Yes,9,Established,Electronics,Email,0
M00299,20,10,609.54,0.124,Yes,6,Urban single,Grocery,SMS,0
M00300,119,7,310.86,0.096,Yes,13,Young household,Electronics,Email,0
M00301,73,14,428.38,0.341,No,13,Retired,Electronics,Paid social,1
M00302,4,9,336.26,0.295,No,7,Young household,Grocery,Direct mail,1
M00303,136,6,371.76,0.373,Yes,7,Established,Beauty,SMS,1
M00304,148,5,91.3,0.151,Yes,5,Established,Beauty,Direct mail,0
M00305,51,6,188.9,0.427,No,7,Urban single,Electronics,SMS,0
M00306,140,10,747.03,0.117,No,8,Young household,Home,SMS,0
M00307,58,5,310.34,0.303,No,5,Urban single,Grocery,Direct mail,0
M00308,131,8,741.81,0.212,Yes,7,Established,Apparel,SMS,0
M00309,11,7,307.05,0.116,No,8,Family,Apparel,Email,1
M00310,51,11,734.98,0.379,Yes,14,Family,Electronics,Paid social,1
M00311,83,12,578.13,0.127,No,11,Young household,Electronics,Email,0
M00312,10,13,1270.85,0,No,9,Young household,Apparel,SMS,1
M00313,73,7,588.39,0.333,No,6,Established,Home,Email,0
M00314,122,3,220.31,0.017,No,2,Urban single,Home,Direct mail,0
M00315,111,4,411.4,0.27,Yes,5,Retired,Apparel,Paid social,0
M00316,133,5,381.09,0.173,No,7,Young household,Home,Direct mail,0
M00317,97,9,501.69,0.21,Yes,7,Retired,Electronics,Email,0
M00318,109,7,653.29,0.169,No,6,Young household,Grocery,Email,0
M00319,59,12,699.62,0.177,Yes,12,Family,Beauty,Email,1
M00320,51,6,375.89,0.334,No,8,Family,Apparel,Paid social,0
M00321,7,11,927.46,0.296,Yes,14,Established,Beauty,Email,1
M00322,102,6,366.5,0.083,Yes,11,Urban single,Home,Email,0
M00323,4,11,830.79,0.031,No,13,Urban single,Apparel,Direct mail,1
M00324,66,5,198.9,0.075,No,8,Retired,Apparel,Paid social,0
M00325,122,10,363.55,0.03,Yes,6,Urban single,Apparel,Email,0
M00326,123,7,223.47,0.354,No,7,Young household,Home,Paid social,0
M00327,129,9,340.85,0.278,No,7,Retired,Apparel,Paid social,0
M00328,138,8,264.16,0.001,No,9,Urban single,Apparel,SMS,0
M00329,65,8,1022.52,0.193,No,7,Family,Apparel,SMS,0
M00330,95,7,267.12,0.313,No,6,Family,Beauty,SMS,1
M00331,47,8,227.58,0.408,Yes,10,Established,Home,Paid social,1
M00332,116,5,219.28,0.159,Yes,10,Young household,Apparel,Email,0
M00333,50,7,434.67,0.484,No,9,Established,Home,SMS,1
M00334,49,14,1299.83,0.394,No,11,Established,Beauty,Email,1
M00335,5,14,1247.59,0.236,No,16,Family,Apparel,Paid social,1
M00336,81,15,1535.22,0.269,No,17,Young household,Electronics,Direct mail,0
M00337,98,3,114.52,0.015,No,6,Urban single,Grocery,SMS,0
M00338,129,9,435.76,0.322,No,6,Retired,Home,SMS,0
M00339,45,7,198.62,0,Yes,11,Family,Apparel,SMS,0
M00340,138,4,362.57,0.279,No,8,Urban single,Apparel,Direct mail,0
M00341,29,12,616.57,0.277,Yes,12,Young household,Beauty,SMS,1
M00342,124,2,65.54,0.222,Yes,0,Retired,Apparel,Paid social,0
M00343,63,10,941.34,0.429,No,10,Established,Apparel,SMS,0
M00344,12,11,556.2,0.5,No,14,Urban single,Apparel,Email,0
M00345,80,11,359.75,0.453,No,14,Established,Electronics,Paid social,1
M00346,31,10,997.03,0.048,Yes,6,Urban single,Electronics,SMS,1
M00347,51,8,851.25,0,No,11,Retired,Electronics,SMS,0
M00348,76,4,306.15,0.064,Yes,6,Established,Beauty,SMS,0
M00349,88,14,730.94,0.048,Yes,13,Urban single,Grocery,Direct mail,0
M00350,95,13,938.82,0.403,No,11,Urban single,Beauty,Direct mail,1
M00351,140,9,126.27,0.207,Yes,8,Urban single,Apparel,Paid social,0
M00352,53,10,120,0.337,No,11,Established,Electronics,SMS,0
M00353,147,6,545.07,0.393,No,9,Retired,Beauty,Email,1
M00354,62,7,184.59,0.214,Yes,10,Urban single,Home,SMS,1
M00355,147,7,398.09,0.244,No,10,Young household,Home,Paid social,1
M00356,100,9,676.62,0.373,No,9,Established,Beauty,SMS,1
M00357,45,6,303.24,0.263,Yes,8,Urban single,Beauty,SMS,0
M00358,83,9,806.85,0.644,No,10,Family,Electronics,Paid social,0
M00359,131,4,275.26,0.392,Yes,8,Established,Grocery,Direct mail,0
M00360,127,6,400.6,0.396,No,8,Young household,Beauty,SMS,0
M00361,60,12,1006.41,0.258,No,14,Young household,Home,Paid social,1
M00362,22,6,313.41,0.182,Yes,10,Young household,Electronics,Direct mail,1
M00363,108,11,1236.08,0.292,No,12,Family,Home,Email,1
M00364,95,8,898.22,0.145,No,8,Urban single,Apparel,Paid social,0
M00365,78,7,631.2,0.191,No,11,Young household,Home,SMS,0
M00366,20,15,1345.1,0.359,Yes,18,Established,Electronics,Paid social,1
M00367,100,3,36,0.188,No,7,Family,Home,Paid social,0
M00368,94,11,377.09,0.209,Yes,10,Retired,Electronics,Paid social,1
M00369,10,11,1042.73,0,Yes,10,Urban single,Electronics,Direct mail,1
M00370,127,10,381.35,0.156,No,12,Family,Beauty,Direct mail,0
M00371,124,14,663.82,0.262,No,17,Family,Grocery,SMS,0
M00372,49,12,755.53,0.13,Yes,12,Established,Apparel,Direct mail,1
M00373,125,10,985.36,0.074,Yes,12,Family,Apparel,Email,1
M00374,91,11,527.44,0.321,Yes,11,Young household,Beauty,Direct mail,1
M00375,72,11,710.3,0.406,No,13,Young household,Grocery,SMS,1
M00376,62,10,240.99,0.286,Yes,9,Urban single,Electronics,Email,1
M00377,141,6,352.29,0.515,Yes,11,Retired,Apparel,Paid social,0
M00378,145,8,160.43,0.159,No,8,Young household,Electronics,SMS,0
M00379,93,6,387.26,0.28,No,7,Young household,Beauty,Paid social,1
M00380,95,9,332.13,0.175,Yes,12,Urban single,Apparel,Email,1
M00381,94,9,352.14,0,Yes,10,Family,Home,Paid social,1
M00382,150,10,636.7,0.196,Yes,14,Retired,Grocery,Email,1
M00383,12,4,271.06,0.026,Yes,8,Urban single,Grocery,Email,0
M00384,4,10,334.87,0.217,Yes,10,Established,Grocery,SMS,1
M00385,122,11,438.36,0.426,No,12,Family,Grocery,Paid social,0
M00386,58,11,665.33,0.351,No,11,Family,Grocery,SMS,0
M00387,48,8,636.86,0.06,Yes,7,Family,Grocery,Direct mail,1
M00388,27,10,771.46,0.307,No,14,Young household,Apparel,Direct mail,1
M00389,135,13,1270.07,0.554,No,13,Young household,Home,Direct mail,1
