customer_id,tenure_months,days_since_purchase,orders_90d,avg_basket,discount_share,returns_90d,support_tickets,loyalty_member,preferred_category,churned_90d
R00033,39,62,5,82.44,0.156,1,1,Yes,Apparel,0
R00034,11,54,2,85.76,0.209,0,0,Yes,Home,0
R00035,34,63,1,19.37,0,0,1,Yes,Beauty,0
R00036,53,62,6,105.15,0.397,2,3,Yes,Beauty,1
R00037,17,37,5,55.27,0.093,2,1,No,Beauty,0
R00038,48,79,4,71.05,0.072,0,1,Yes,Grocery,0
R00039,19,33,4,114,0.446,2,1,Yes,Grocery,0
R00040,27,52,4,44.05,0.423,2,0,Yes,Apparel,0
R00041,44,37,4,109.68,0.539,1,2,Yes,Beauty,1
R00042,46,26,8,60.81,0.21,1,0,Yes,Home,0
R00043,32,36,5,59.73,0.064,0,0,Yes,Apparel,0
R00044,60,82,6,91.14,0.128,1,1,Yes,Home,0
R00045,26,32,6,36.42,0.45,1,0,Yes,Electronics,0
R00046,29,69,4,53.76,0.406,1,0,No,Home,1
R00047,16,37,8,60.65,0.052,2,0,Yes,Electronics,0
R00048,11,61,8,88.87,0.291,1,1,Yes,Electronics,0
R00049,17,56,1,80.7,0.243,1,1,No,Grocery,1
R00050,54,51,5,69.2,0.336,0,1,Yes,Electronics,0
R00051,38,69,4,59.63,0.143,1,1,No,Apparel,0
R00052,36,42,6,37.75,0.417,1,2,Yes,Apparel,0
R00053,20,40,6,43.28,0.65,3,2,Yes,Apparel,1
R00054,48,42,2,49.43,0.452,2,2,Yes,Grocery,0
R00055,31,51,2,82.28,0.221,1,1,Yes,Apparel,1
R00056,40,72,7,31.71,0.222,1,2,Yes,Home,0
R00057,39,88,4,72.79,0.208,0,0,Yes,Apparel,0
R00058,51,56,3,40.95,0.242,1,0,No,Apparel,1
R00059,59,51,9,96.43,0.228,1,1,Yes,Apparel,0
R00060,54,101,0,39.91,0.233,2,1,Yes,Home,1
R00061,47,80,5,12.29,0.333,1,0,Yes,Beauty,0
R00062,23,50,4,56.58,0.096,2,1,Yes,Grocery,0
R00063,5,65,2,62.42,0.155,1,0,No,Grocery,1
R00064,46,86,2,14.9,0.144,1,1,Yes,Home,0
R00065,4,42,3,37.5,0.381,0,1,Yes,Beauty,0
R00066,30,64,1,64.69,0.223,0,0,Yes,Apparel,0
R00067,19,43,0,65.66,0.399,2,2,No,Electronics,0
R00068,42,42,4,76.41,0.066,1,0,Yes,Apparel,0
R00069,42,92,4,49.13,0.044,0,0,Yes,Electronics,0
R00070,12,55,6,21.06,0.391,2,2,No,Apparel,0
R00071,8,43,6,28.85,0.026,1,2,Yes,Home,0
R00072,7,65,4,103.56,0.365,3,1,Yes,Home,0
R00073,9,31,4,115.15,0.271,0,2,Yes,Apparel,0
R00074,58,47,6,57.65,0.447,1,1,Yes,Grocery,0
R00075,12,57,4,91,0.292,2,0,Yes,Apparel,0
R00076,43,59,8,10,0.244,0,0,Yes,Electronics,0
R00077,44,58,4,21.32,0.347,1,2,Yes,Beauty,0
R00078,20,49,6,95.41,0.181,1,0,Yes,Grocery,0
R00079,14,73,4,70.46,0.243,2,1,No,Apparel,1
R00080,44,66,1,72.52,0.102,0,1,Yes,Beauty,1
R00081,61,36,10,36.88,0.118,0,0,Yes,Home,0
R00082,60,58,6,113.09,0.133,0,1,Yes,Grocery,0
R00083,1,65,0,85.07,0.229,1,1,No,Apparel,1
R00084,59,85,6,32.57,0.546,0,0,Yes,Electronics,0
R00085,7,114,2,59.93,0.444,2,1,Yes,Home,1
R00086,34,30,5,23.93,0.361,0,2,Yes,Beauty,0
R00087,36,51,7,59.56,0.009,0,1,Yes,Apparel,0
R00088,39,49,7,78.82,0.155,0,0,Yes,Home,0
R00089,52,72,5,59.49,0.431,0,0,Yes,Home,0
R00090,39,90,2,18.55,0,0,0,Yes,Apparel,1
R00091,57,73,7,65.79,0,1,0,Yes,Beauty,0
R00092,43,37,3,10,0.29,1,1,Yes,Electronics,0
R00093,47,54,5,17.9,0.277,0,1,Yes,Grocery,0
R00094,55,62,6,115.95,0.116,0,0,Yes,Grocery,0
R00095,11,22,8,90.11,0.472,1,0,Yes,Electronics,0
R00096,36,79,5,84.39,0.357,0,2,No,Beauty,1
R00097,46,44,10,43.17,0.187,0,0,Yes,Electronics,0
R00098,18,89,5,14.99,0.361,1,1,Yes,Electronics,0
R00099,40,73,6,57.64,0.166,1,3,Yes,Grocery,0
R00100,64,26,5,80.71,0.14,0,2,Yes,Beauty,0
R00101,16,38,5,48.01,0.224,0,0,Yes,Home,0
R00102,61,83,6,75.85,0.319,1,0,No,Home,0
R00103,60,73,8,68.06,0.409,1,1,Yes,Home,0
R00104,1,93,0,59.81,0.351,1,1,No,Electronics,1
R00105,38,66,5,65.97,0.288,0,0,Yes,Apparel,0
R00106,2,43,6,42.45,0,0,1,Yes,Beauty,0
R00107,56,51,3,50.58,0.317,1,1,No,Apparel,0
R00108,27,72,5,77.64,0.227,1,0,Yes,Beauty,0
R00109,15,64,2,78.18,0.19,1,0,No,Beauty,1
R00110,63,24,10,98.08,0.362,2,0,Yes,Beauty,0
R00111,20,62,4,30.84,0.076,0,0,Yes,Grocery,0
R00112,48,43,3,103.82,0.37,0,0,Yes,Apparel,0
R00113,28,36,4,47.96,0,0,1,Yes,Grocery,0
R00114,59,55,7,65.41,0.379,1,0,Yes,Electronics,0
R00115,58,25,1,47.79,0,0,1,Yes,Apparel,1
R00116,7,59,4,98.72,0.572,0,1,No,Apparel,0
R00117,5,58,3,80.89,0.392,1,1,No,Beauty,0
R00118,37,86,4,60.78,0.322,2,0,Yes,Apparel,0
R00119,17,85,2,12.51,0.206,1,0,No,Apparel,0
R00120,26,37,6,60.41,0.255,0,1,Yes,Electronics,0
R00121,21,55,6,54.86,0.404,0,0,Yes,Apparel,0
R00122,48,69,4,41.62,0.654,2,0,Yes,Grocery,0
R00123,47,36,4,70.86,0.466,1,1,Yes,Home,0
R00124,13,56,5,46.08,0.498,0,0,Yes,Apparel,0
R00125,47,37,8,80.22,0.552,0,0,Yes,Beauty,0
R00126,55,41,2,31.92,0.363,0,0,Yes,Apparel,0
R00127,27,36,5,57.33,0.614,2,1,Yes,Electronics,1
R00128,58,48,9,116.3,0.347,0,0,Yes,Grocery,0
R00129,60,31,4,51.23,0.468,2,0,Yes,Grocery,0
R00130,56,40,8,77.98,0.109,0,1,Yes,Apparel,0
R00131,4,28,6,69.26,0.183,1,1,No,Home,0
R00132,7,91,0,10,0.392,0,0,Yes,Grocery,1
R00133,12,45,3,49.32,0.206,0,0,Yes,Beauty,0
R00134,37,64,4,49.39,0.449,0,0,Yes,Apparel,0
R00135,26,60,0,28.3,0.196,0,1,No,Apparel,0
R00136,9,70,5,95.11,0.136,0,0,Yes,Apparel,0
R00137,9,91,4,19.45,0.513,1,0,Yes,Grocery,0
R00138,2,68,4,10,0.392,0,0,Yes,Beauty,0
R00139,35,43,3,36.36,0.594,2,1,Yes,Apparel,0
R00140,43,68,5,71.07,0.139,0,0,Yes,Beauty,1
R00141,42,53,7,71.89,0.362,0,0,Yes,Grocery,0
R00142,38,109,5,82.17,0.688,0,1,Yes,Home,0
R00143,45,51,7,70.38,0.485,2,1,Yes,Grocery,0
R00144,20,81,2,71.08,0.398,0,1,Yes,Grocery,1
R00145,3,35,0,32.21,0.523,1,1,No,Beauty,0
R00146,31,89,1,32.65,0.262,0,0,No,Apparel,1
R00147,61,51,5,44.23,0.438,1,1,Yes,Electronics,0
R00148,26,67,5,84.7,0.282,1,1,Yes,Electronics,0
R00149,44,22,7,97.37,0,0,0,No,Home,0
R00150,13,60,3,67.03,0.308,1,2,Yes,Beauty,1
R00151,26,23,8,31.63,0.324,1,1,No,Electronics,0
R00152,38,37,3,55.56,0.441,0,0,Yes,Beauty,0
R00153,1,50,1,45.03,0.405,1,1,Yes,Grocery,0
R00154,57,52,9,55.28,0.585,2,2,Yes,Home,0
R00155,28,29,6,10,0,0,0,Yes,Grocery,0
R00156,4,65,5,26.69,0.672,2,2,No,Electronics,1
R00157,39,68,8,55.9,0.158,3,1,Yes,Electronics,0
R00158,36,73,3,91.11,0.5,2,2,Yes,Beauty,0
R00159,26,73,6,101.5,0.102,1,0,Yes,Apparel,0
R00160,52,77,3,66.79,0.297,0,0,Yes,Apparel,0
R00161,27,63,3,79.5,0.345,1,0,Yes,Home,0
R00162,60,59,8,42.25,0.082,0,1,Yes,Home,0
R00163,48,66,5,52.78,0.296,0,0,Yes,Home,0
R00164,61,71,6,39.17,0.498,2,1,No,Beauty,1
R00165,36,59,2,39.42,0.087,0,1,Yes,Electronics,0
R00166,40,40,6,44.82,0.004,0,0,Yes,Apparel,0
R00167,63,24,5,88.91,0.178,1,0,Yes,Apparel,0
R00168,46,61,4,76.66,0.281,1,0,Yes,Beauty,0
R00169,9,36,2,35.36,0.123,0,1,Yes,Home,0
R00170,9,47,2,48.03,0.753,3,1,Yes,Electronics,0
R00171,55,68,8,13.52,0.367,0,0,Yes,Home,0
R00172,11,42,8,91.74,0.598,2,0,Yes,Beauty,0
R00173,13,46,7,72.02,0.006,1,0,Yes,Apparel,1
R00174,26,59,0,29.99,0.566,0,0,Yes,Beauty,0
R00175,53,83,6,62.88,0.118,0,0,Yes,Home,0
R00176,53,20,10,68.22,0.464,1,0,Yes,Electronics,0
R00177,20,75,4,10,0.379,0,0,Yes,Electronics,1
R00178,22,116,1,66.02,0.084,0,0,Yes,Apparel,0
R00179,63,72,6,10,0.373,1,2,No,Home,1
R00180,50,59,1,34.93,0.325,1,0,Yes,Home,0
R00181,59,48,3,106.12,0.164,2,0,Yes,Grocery,0
R00182,19,64,4,29.2,0.268,0,1,Yes,Electronics,0
R00183,45,52,6,52.41,0.027,0,0,Yes,Grocery,0
R00184,49,57,9,64.56,0,1,0,Yes,Beauty,0
R00185,2,99,2,10,0.406,2,1,Yes,Electronics,0
R00186,58,30,8,62.06,0.347,0,0,Yes,Apparel,0
R00187,9,46,3,109.73,0.219,2,1,No,Home,1
R00188,7,81,6,100.31,0.554,2,0,No,Beauty,1
R00189,41,67,5,70.19,0.378,1,0,Yes,Beauty,0
R00190,17,32,4,43.13,0.39,1,2,No,Grocery,1
R00191,49,72,7,42.23,0.477,1,0,Yes,Grocery,1
R00192,4,21,6,100.69,0.396,2,0,No,Home,0
R00193,2,83,2,119.52,0.453,2,1,Yes,Home,0
R00194,19,80,1,67.78,0.049,2,0,Yes,Apparel,0
R00195,12,42,3,35.21,0.441,1,1,No,Beauty,1
R00196,30,47,4,65.19,0.269,0,0,Yes,Apparel,0
R00197,61,67,3,49.5,0.42,2,0,Yes,Apparel,0
R00198,52,43,4,25.13,0.511,2,2,Yes,Beauty,0
R00199,48,46,5,70.3,0.24,1,1,Yes,Apparel,0
R00200,38,73,7,17.52,0.237,0,1,Yes,Electronics,0
R00201,28,97,5,102.52,0.165,1,1,Yes,Apparel,0
R00202,49,56,2,33.68,0.525,0,0,Yes,Home,0
R00203,14,85,4,67.72,0.315,1,0,Yes,Home,0
R00204,56,91,0,55.74,0.148,0,1,Yes,Electronics,1
R00205,50,61,3,81.34,0.163,0,0,Yes,Grocery,0
R00206,38,29,4,99.36,0.026,1,0,Yes,Apparel,0
R00207,12,77,3,98.25,0.25,0,0,Yes,Electronics,0
R00208,13,66,7,66.09,0.081,0,0,Yes,Beauty,0
R00209,2,58,2,61.83,0.054,0,0,Yes,Electronics,0
R00210,32,43,4,17.29,0.437,1,1,Yes,Beauty,0
R00211,9,59,4,69.55,0.122,0,1,Yes,Beauty,0
R00212,34,100,4,60.03,0.423,1,0,Yes,Grocery,0
R00213,28,63,0,42.97,0.494,1,0,Yes,Grocery,1
R00214,15,100,4,33.84,0.287,1,0,Yes,Beauty,0
R00215,39,62,2,69.13,0.071,1,1,Yes,Beauty,0
R00216,56,89,6,106.76,0.267,1,2,Yes,Beauty,0
R00217,63,54,6,25.42,0.426,0,1,Yes,Home,0
R00218,12,51,4,97.39,0.566,1,0,Yes,Electronics,0
R00219,16,90,1,72.9,0.241,0,0,Yes,Apparel,1
R00220,59,47,4,68.95,0.518,1,1,Yes,Electronics,1
R00221,25,54,6,49.85,0.041,2,0,Yes,Electronics,0
R00222,50,66,6,63.57,0.466,0,0,No,Beauty,0
R00223,34,98,7,63.99,0.203,0,2,Yes,Grocery,0
R00224,50,42,4,96.28,0.194,1,1,Yes,Grocery,0
R00225,44,57,3,62.64,0.377,1,1,Yes,Beauty,1
R00226,35,52,5,76.84,0.427,1,1,Yes,Beauty,0
R00227,3,68,4,35,0,1,0,Yes,Apparel,0
R00228,18,96,1,56.87,0.162,0,0,Yes,Apparel,0
R00229,47,48,7,70.52,0.158,0,0,Yes,Beauty,0
R00230,42,39,4,29.18,0.194,1,2,Yes,Apparel,0
R00231,27,49,5,69.41,0.129,1,0,Yes,Electronics,0
R00232,47,46,9,112.65,0.264,0,0,Yes,Beauty,0
R00233,39,103,2,57.88,0.138,0,0,Yes,Grocery,1
R00234,21,29,3,62.3,0.317,1,0,Yes,Electronics,0
R00235,48,31,8,79.94,0.172,0,0,Yes,Electronics,0
R00236,39,53,8,62.86,0.17,0,0,Yes,Beauty,0
R00237,30,99,2,81.39,0.538,0,0,Yes,Electronics,0
R00238,37,45,6,27,0.18,1,0,Yes,Apparel,0
R00239,13,79,4,40.65,0.313,1,1,No,Electronics,0
R00240,11,69,2,69.63,0.53,0,0,No,Grocery,0
R00241,9,41,4,66.67,0,0,0,Yes,Grocery,0
R00242,51,50,7,36.39,0.466,0,0,Yes,Beauty,0
R00243,23,80,3,59.69,0,0,0,Yes,Electronics,0
R00244,56,66,4,24.29,0.377,1,0,Yes,Electronics,0
R00245,36,56,5,70.07,0.35,0,1,Yes,Beauty,0
R00246,46,98,3,10.42,0.637,1,1,Yes,Electronics,1
R00247,31,54,0,77.7,0.012,0,0,Yes,Electronics,0
R00248,51,33,8,26.75,0.175,1,0,Yes,Apparel,0
R00249,47,51,5,43.98,0.246,0,1,Yes,Home,0
R00250,32,52,4,44.41,0.246,0,0,Yes,Apparel,0
R00251,15,34,6,10,0,1,1,Yes,Home,1
R00252,50,40,5,43.34,0,1,0,Yes,Apparel,0
R00253,54,64,8,68.03,0.486,0,2,Yes,Apparel,0
R00254,60,88,6,55.17,0.338,0,0,Yes,Electronics,0
R00255,46,80,3,76.15,0.398,1,0,Yes,Grocery,0
R00256,7,23,4,10,0.35,0,0,Yes,Beauty,0
R00257,4,62,5,44.47,0.323,0,0,Yes,Apparel,0
R00258,25,46,3,38.09,0.433,0,1,No,Grocery,1
R00259,26,53,5,56.81,0.363,1,0,Yes,Apparel,1
R00260,2,101,1,36.78,0,0,0,No,Apparel,1
R00261,37,51,3,65.01,0.159,1,0,Yes,Beauty,0
R00262,39,61,5,31.87,0.36,1,2,Yes,Apparel,0
R00263,15,32,3,81.18,0.318,0,0,Yes,Electronics,0
R00264,39,81,3,68.82,0.199,1,1,Yes,Grocery,1
R00265,45,59,8,14.34,0.361,0,1,Yes,Home,0
R00266,30,97,2,51.62,0.62,2,2,Yes,Beauty,0
R00267,27,48,6,30.12,0.162,1,1,Yes,Electronics,0
R00268,62,44,8,50.91,0.177,1,1,No,Electronics,0
R00269,53,68,7,43.13,0.189,1,1,Yes,Grocery,0
R00270,6,126,2,52.23,0.228,0,0,Yes,Home,0
R00271,29,91,0,62.52,0.249,0,0,No,Electronics,0
R00272,31,34,7,83.78,0.21,1,2,Yes,Home,0
R00273,43,85,2,28.81,0.461,1,2,Yes,Home,1
R00274,38,56,8,37.55,0.232,0,0,Yes,Electronics,1
R00275,56,61,1,70.05,0.237,0,0,Yes,Electronics,0
R00276,51,91,3,49.32,0.1,0,1,Yes,Electronics,1
R00277,5,46,4,40.38,0.216,0,0,Yes,Beauty,0
R00278,35,44,6,43.02,0.058,1,1,Yes,Beauty,0
R00279,19,42,5,53.6,0.214,0,2,Yes,Beauty,0
R00280,9,106,0,74.88,0.44,2,1,No,Apparel,1
R00281,48,86,5,75.57,0.285,2,0,Yes,Beauty,0
R00282,59,65,3,85.63,0.3,0,0,Yes,Beauty,0
R00283,3,90,3,62.93,0.126,2,1,No,Grocery,0
R00284,16,28,4,38.43,0,0,0,Yes,Beauty,0
R00285,18,23,4,42.82,0.585,2,2,Yes,Beauty,0
R00286,5,35,4,76.16,0.516,1,0,Yes,Electronics,0
R00287,12,61,4,10,0.47,1,1,Yes,Beauty,1
R00288,54,38,8,75.59,0.589,2,2,Yes,Apparel,0
R00289,58,36,5,40.94,0,0,1,Yes,Home,0
R00290,35,43,5,28.37,0.169,1,1,No,Grocery,0
R00291,12,48,8,61.4,0.353,0,0,No,Beauty,0
R00292,36,59,7,79.5,0.265,1,1,Yes,Apparel,0
R00293,9,41,6,42.12,0.093,1,0,Yes,Beauty,0
R00294,36,58,9,46.4,0.181,1,0,Yes,Home,0
R00295,30,22,7,43.57,0.171,0,0,Yes,Apparel,0
R00296,38,93,5,63.24,0.459,2,0,Yes,Beauty,0
R00297,5,39,0,89.29,0.345,1,0,Yes,Beauty,0
R00298,39,44,5,68.58,0.498,0,0,No,Home,0
R00299,21,51,9,75.38,0.233,1,1,Yes,Beauty,0
R00300,58,92,4,80.17,0.147,0,0,No,Apparel,0
R00301,44,38,4,24.36,0.405,1,0,Yes,Home,0
R00302,38,40,2,32.46,0.421,0,0,No,Beauty,0
R00303,45,46,7,46,0.495,0,1,Yes,Home,0
R00304,8,54,5,94.03,0,0,1,No,Apparel,0
R00305,22,82,2,75.95,0.21,1,0,Yes,Beauty,0
R00306,60,57,6,47.57,0.261,1,0,Yes,Beauty,0
R00307,5,84,2,21.65,0.077,0,0,Yes,Apparel,0
R00308,10,99,1,49.88,0.254,2,0,Yes,Grocery,0
R00309,40,33,6,47.34,0.446,2,0,Yes,Beauty,0
R00310,40,61,3,65.03,0,0,0,Yes,Grocery,1
R00311,64,82,6,50.03,0.454,2,2,Yes,Home,1
R00312,33,21,6,46.54,0.283,0,0,Yes,Home,0
R00313,35,76,3,51.63,0.366,1,1,Yes,Beauty,1
R00314,38,63,5,39.48,0.434,1,0,Yes,Electronics,1
R00315,57,28,9,10,0.295,1,1,Yes,Home,0
R00316,14,45,7,53.66,0.306,0,0,No,Beauty,0
R00317,8,59,5,10,0.266,1,0,Yes,Electronics,0
R00318,26,27,5,42.09,0.472,0,1,Yes,Grocery,0
R00319,33,60,3,58.06,0.194,0,1,Yes,Apparel,0
R00320,21,73,5,89.74,0.395,0,1,No,Beauty,1
R00321,1,76,2,101.49,0.531,1,0,Yes,Electronics,1
R00322,19,89,5,68.53,0.211,0,0,Yes,Home,0
R00323,12,47,4,59.2,0.506,0,0,No,Grocery,0
R00324,42,31,6,26.34,0.274,2,1,Yes,Apparel,0
R00325,34,41,7,80.6,0.492,2,1,Yes,Beauty,0
R00326,24,75,5,14.2,0.261,2,1,Yes,Beauty,0
R00327,42,28,6,36.49,0.308,1,0,Yes,Grocery,0
R00328,36,69,8,26.65,0.155,1,0,Yes,Grocery,0
R00329,27,25,1,24.09,0.251,2,1,No,Beauty,0
R00330,9,48,4,68.19,0.337,0,0,Yes,Grocery,0
R00331,17,54,9,55.08,0.281,1,0,No,Apparel,1
R00332,20,54,6,90.99,0.047,1,0,Yes,Home,0
R00333,51,52,4,40.61,0.27,0,1,Yes,Apparel,1
R00334,18,86,0,70.73,0.072,1,0,Yes,Apparel,0
R00335,2,46,3,77.11,0.045,1,0,No,Apparel,0
R00336,33,103,0,39.85,0.397,0,0,Yes,Electronics,0
R00337,2,35,6,47.3,0.254,1,1,Yes,Apparel,0
R00338,38,57,3,20.82,0.5,1,0,Yes,Apparel,0
R00339,11,45,3,10,0.116,1,1,Yes,Home,0
R00340,30,58,5,71.12,0.436,0,0,Yes,Apparel,0
R00341,11,55,5,60.9,0.195,0,0,Yes,Grocery,0
R00342,22,65,5,22.12,0.271,0,0,Yes,Beauty,0
R00343,37,55,3,40.21,0.58,3,3,Yes,Apparel,1
R00344,51,58,4,92.23,0.007,0,0,Yes,Grocery,0
R00345,8,47,7,105.41,0.158,0,0,Yes,Apparel,0
R00346,34,65,1,80.08,0.489,1,0,Yes,Apparel,1
R00347,58,84,3,93.23,0,0,0,Yes,Beauty,1
R00348,4,87,2,37.66,0.299,0,1,No,Electronics,1
R00349,26,65,7,38.71,0.293,0,0,No,Home,0
R00350,15,44,1,35.8,0.484,0,1,Yes,Grocery,1
R00351,2,84,5,59.55,0.747,3,3,Yes,Grocery,1
R00352,54,27,6,110.56,0.385,0,1,Yes,Apparel,0
R00353,35,57,10,53.11,0.69,1,0,Yes,Apparel,0
R00354,33,74,3,24.79,0.263,1,1,Yes,Grocery,0
R00355,53,63,7,68.66,0,0,0,Yes,Beauty,0
R00356,8,56,6,37.46,0.137,0,1,Yes,Beauty,0
R00357,6,77,4,67.82,0.289,1,2,Yes,Grocery,0
R00358,32,64,4,35.89,0.197,0,0,No,Beauty,0
R00359,10,105,0,106.3,0.217,0,0,Yes,Electronics,1
R00360,3,57,4,68.99,0.114,0,1,No,Electronics,0
R00361,42,88,4,93.35,0.117,0,2,Yes,Beauty,0
R00362,4,72,4,60.73,0.514,2,1,Yes,Electronics,0
R00363,28,31,4,85.32,0.507,1,1,Yes,Home,0
R00364,45,54,6,17.27,0.224,1,2,Yes,Home,0
R00365,5,51,4,39.92,0.067,0,0,Yes,Apparel,1
R00366,52,76,7,76.2,0.486,0,0,Yes,Apparel,0
R00367,35,46,3,37.47,0.272,1,0,Yes,Apparel,0
R00368,51,62,5,10,0.275,1,1,Yes,Electronics,1
R00369,43,56,3,36.08,0.303,0,0,Yes,Electronics,0
R00370,43,105,3,50.85,0.492,1,2,No,Electronics,1
R00371,14,76,4,55.82,0.72,1,0,No,Grocery,0
R00372,56,84,2,54.32,0.234,1,1,Yes,Apparel,0
R00373,44,94,5,70.64,0,0,0,Yes,Beauty,1
R00374,24,42,5,24.66,0.211,1,1,Yes,Electronics,0
R00375,24,23,3,45.57,0.311,1,0,Yes,Beauty,1
R00376,26,67,6,67.03,0,0,1,Yes,Home,0
R00377,26,52,7,113.41,0.146,2,1,Yes,Electronics,0
R00378,52,90,7,82.92,0.321,0,0,Yes,Electronics,0
R00379,64,52,4,36.61,0.129,0,1,Yes,Grocery,0
R00380,15,55,4,58.7,0.648,1,2,Yes,Electronics,1
R00381,59,49,3,81.63,0.123,0,0,Yes,Grocery,0
R00382,35,58,4,79.08,0.201,0,0,Yes,Apparel,0
R00383,46,80,3,78.66,0.11,0,1,Yes,Apparel,0
R00384,53,99,6,48.81,0.22,2,1,Yes,Home,1
R00385,8,52,6,52.61,0.231,0,0,Yes,Electronics,0
R00386,19,60,5,10,0.268,1,1,Yes,Home,0
R00387,14,87,4,75.76,0.236,0,0,Yes,Beauty,0
R00388,45,37,7,22.54,0.421,2,3,Yes,Home,0
R00389,4,56,6,100.99,0.346,1,0,Yes,Beauty,0
R00390,54,33,3,25.04,0.422,2,1,Yes,Beauty,0
R00391,45,28,3,82.9,0.418,1,0,Yes,Beauty,0
R00392,13,62,4,57.58,0.034,0,0,Yes,Grocery,1
R00393,56,35,4,33.86,0.129,1,0,Yes,Electronics,0
R00394,19,35,5,34.88,0.12,0,0,Yes,Beauty,0
R00395,41,21,4,68.09,0.04,0,1,Yes,Grocery,0
R00396,41,54,6,68.2,0.066,0,0,Yes,Electronics,0
R00397,25,48,7,75.63,0.511,1,0,Yes,Beauty,0
R00398,60,81,6,30.86,0.403,1,1,Yes,Home,0
R00399,47,27,5,48.88,0.512,0,0,Yes,Grocery,0
R00400,60,65,5,24.67,0.084,0,0,Yes,Apparel,0
R00401,63,63,3,35.27,0.445,2,0,Yes,Home,0
R00402,43,75,4,76.65,0.109,1,2,Yes,Grocery,0
R00403,55,32,8,31.19,0.375,0,0,Yes,Grocery,0
R00404,13,51,5,64.02,0.27,0,1,Yes,Home,0
R00405,47,38,8,71.97,0.172,0,0,Yes,Apparel,0
R00406,15,85,3,87.48,0.183,0,0,Yes,Grocery,0
R00407,21,54,4,53.32,0.635,0,0,No,Beauty,1
R00408,2,84,2,52.85,0.321,1,2,No,Electronics,1
R00409,24,26,3,46,0.33,0,0,Yes,Apparel,0
R00410,21,89,3,114.98,0.244,0,1,No,Electronics,0
R00411,56,49,3,46.27,0,0,0,Yes,Grocery,0
R00412,34,51,3,75.08,0.263,0,0,Yes,Apparel,0
R00413,40,58,4,50.58,0.469,1,0,Yes,Apparel,0
R00414,8,87,4,75.52,0.076,1,2,No,Grocery,0
R00415,18,67,8,48.35,0.31,1,0,Yes,Home,0
R00416,56,85,4,10,0.372,1,1,Yes,Electronics,1
R00417,24,66,6,73.55,0.411,2,2,Yes,Apparel,0
R00418,15,75,5,41.66,0.155,2,0,Yes,Apparel,1
R00419,49,29,8,31.74,0.011,0,0,Yes,Home,0
R00420,62,53,1,72.97,0.153,0,0,Yes,Grocery,0
R00421,27,56,5,46.95,0.774,3,1,Yes,Electronics,0
R00422,64,23,8,136.1,0.293,0,0,Yes,Apparel,0
R00423,49,54,8,48.47,0.082,1,0,Yes,Apparel,0
R00424,6,83,5,70.56,0.411,1,0,Yes,Beauty,0
R00425,20,36,5,59.91,0.356,1,1,Yes,Grocery,0
R00426,49,35,8,53.41,0.214,1,1,Yes,Grocery,0
R00427,20,59,9,84.31,0.358,0,1,Yes,Beauty,0
R00428,8,68,4,50.7,0.431,2,2,Yes,Home,1
R00429,15,78,5,83.14,0.597,1,0,Yes,Home,0
R00430,20,47,3,131.76,0.574,0,1,Yes,Home,0
R00431,25,35,5,46.1,0.327,1,1,Yes,Beauty,0
