visitor_id,sessions_30d,product_views,cart_adds,wishlist_items,avg_session_minutes,prior_orders,email_clicks_30d,acquisition_channel,device,converted_14d
V00101,2,3,0,2,2.18,3,3,Search,Mobile,0
V00102,4,7,1,0,3.17,5,0,Search,Mobile,0
V00103,3,9,2,0,4.26,0,3,Affiliate,Mobile,0
V00104,13,32,6,3,12.82,5,0,Affiliate,Desktop,1
V00105,3,11,1,1,3.22,5,3,Organic,Tablet,1
V00106,6,18,1,0,5.73,4,1,Affiliate,Tablet,0
V00107,1,1,0,0,3.74,1,1,Organic,Mobile,0
V00108,11,37,4,3,9.33,3,2,Search,Mobile,1
V00109,3,6,1,0,6.31,3,0,Organic,Tablet,0
V00110,4,23,3,2,6.9,1,3,Email,Tablet,1
V00111,6,33,3,1,10.74,1,1,Email,Mobile,1
V00112,6,27,5,1,8.31,0,3,Paid social,Mobile,1
V00113,11,53,11,4,16.29,0,2,Affiliate,Mobile,1
V00114,11,52,6,2,9.59,0,0,Search,Tablet,1
V00115,4,16,1,0,2.58,1,0,Affiliate,Tablet,0
V00116,3,19,3,2,6.84,3,1,Affiliate,Desktop,1
V00117,5,16,3,2,5.7,1,3,Organic,Mobile,1
V00118,10,45,8,2,11.01,3,1,Email,Desktop,1
V00119,5,9,1,0,6.93,1,4,Affiliate,Tablet,0
V00120,7,14,3,2,9.1,5,0,Search,Tablet,1
V00121,11,27,2,1,10.88,2,0,Paid social,Mobile,1
V00122,11,23,4,0,10.76,1,4,Search,Desktop,0
V00123,8,19,1,2,8.28,5,1,Organic,Tablet,0
V00124,11,29,4,2,13.11,4,0,Organic,Mobile,1
V00125,6,22,3,1,8.36,2,2,Email,Mobile,1
V00126,6,28,2,2,7.46,1,2,Email,Tablet,1
V00127,1,4,0,0,4.18,1,2,Affiliate,Tablet,0
V00128,13,39,3,1,13.29,3,3,Email,Desktop,1
V00129,8,31,5,5,8.94,1,3,Paid social,Tablet,0
V00130,8,39,4,2,11.92,0,3,Organic,Tablet,1
V00131,1,1,0,0,2.98,3,1,Affiliate,Tablet,0
V00132,14,73,10,6,18.24,3,1,Search,Tablet,1
V00133,6,22,4,1,8.81,6,1,Paid social,Tablet,1
V00134,1,5,1,0,5.26,3,0,Email,Tablet,1
V00135,10,26,5,3,6.34,1,1,Search,Desktop,0
V00136,7,26,4,2,5.11,2,0,Search,Desktop,1
V00137,12,59,4,3,9.15,1,0,Affiliate,Desktop,1
V00138,6,29,6,3,8.5,0,0,Paid social,Mobile,0
V00139,3,13,2,3,8.45,0,1,Organic,Mobile,0
V00140,3,14,2,1,3.47,1,0,Organic,Mobile,0
V00141,4,21,2,0,1.47,1,4,Email,Tablet,1
V00142,3,11,2,0,5.26,0,3,Search,Desktop,0
V00143,11,33,4,2,8.83,2,1,Organic,Tablet,1
V00144,2,8,2,0,5.22,0,2,Organic,Tablet,0
V00145,10,29,3,2,10.41,3,1,Email,Desktop,1
V00146,4,18,3,2,7.87,3,2,Organic,Desktop,0
V00147,5,15,2,1,4.86,3,1,Paid social,Tablet,0
V00148,8,43,7,3,9.62,1,0,Affiliate,Tablet,1
V00149,9,24,4,2,7.92,0,0,Search,Tablet,1
V00150,11,35,6,3,12.99,0,1,Search,Mobile,1
V00151,12,57,9,4,11.26,0,3,Email,Desktop,1
V00152,11,38,3,2,10.53,7,0,Email,Desktop,1
V00153,5,23,4,1,8.7,2,4,Affiliate,Desktop,0
V00154,14,38,7,3,10.68,3,4,Affiliate,Tablet,1
V00155,13,23,2,0,10.72,0,3,Paid social,Tablet,1
V00156,7,40,6,3,8.08,4,1,Affiliate,Mobile,1
V00157,13,42,4,3,10.77,1,0,Paid social,Mobile,1
V00158,7,33,7,2,12.45,2,0,Organic,Desktop,1
V00159,6,30,4,2,7.74,3,4,Organic,Tablet,1
V00160,4,10,1,0,3.8,0,0,Organic,Mobile,1
V00161,6,23,3,2,8.74,4,4,Organic,Desktop,1
V00162,3,14,1,0,3.09,1,2,Email,Tablet,0
V00163,7,29,4,2,7.51,2,4,Affiliate,Desktop,1
V00164,9,27,5,3,8.61,2,2,Affiliate,Desktop,1
V00165,14,65,11,4,17.25,0,2,Organic,Mobile,1
V00166,7,17,3,2,6.6,2,1,Email,Tablet,1
V00167,12,31,2,0,9.38,1,2,Email,Mobile,0
V00168,12,35,7,2,11.44,1,3,Paid social,Tablet,1
V00169,1,1,0,0,6.72,3,1,Paid social,Tablet,0
V00170,10,44,5,1,11.85,3,0,Search,Mobile,1
V00171,10,56,10,3,12.24,0,0,Search,Tablet,1
V00172,14,34,5,3,8.32,2,3,Organic,Tablet,1
V00173,9,24,3,1,9.72,5,3,Organic,Mobile,1
V00174,1,1,0,1,2.63,3,2,Organic,Desktop,0
V00175,11,36,3,1,8.99,1,0,Affiliate,Mobile,1
V00176,11,44,7,3,10.8,0,1,Search,Tablet,1
V00177,8,28,4,1,8.85,3,2,Email,Desktop,1
V00178,13,66,10,5,16.28,0,4,Affiliate,Desktop,1
V00179,10,52,3,3,7.96,0,4,Affiliate,Desktop,1
V00180,12,45,9,4,16.77,1,0,Organic,Tablet,1
V00181,2,11,1,0,1.83,0,0,Email,Mobile,0
V00182,9,17,2,1,8.1,6,1,Email,Mobile,1
V00183,3,14,3,2,7.02,2,0,Search,Tablet,1
V00184,13,55,7,2,12.53,4,0,Organic,Tablet,1
V00185,13,36,2,2,7.09,2,3,Organic,Desktop,1
V00186,8,24,1,0,6.59,4,0,Paid social,Desktop,1
V00187,3,7,1,2,4.81,5,0,Paid social,Desktop,0
V00188,1,4,0,1,1.69,3,1,Affiliate,Desktop,0
V00189,4,21,3,2,4.92,1,2,Affiliate,Mobile,1
V00190,11,46,10,5,14.25,1,3,Email,Mobile,1
V00191,9,47,2,0,10.23,2,3,Affiliate,Desktop,0
V00192,2,15,1,0,3.66,0,3,Email,Mobile,0
V00193,10,42,7,3,15.85,0,4,Search,Tablet,1
V00194,10,49,7,3,12.31,1,0,Paid social,Tablet,1
V00195,13,67,6,4,13.16,5,3,Affiliate,Desktop,1
V00196,3,6,1,2,3.63,0,2,Search,Tablet,0
V00197,13,57,8,4,15.36,0,0,Organic,Desktop,1
V00198,6,21,3,1,10.24,2,0,Affiliate,Mobile,0
V00199,13,55,4,0,13.11,2,3,Affiliate,Tablet,1
V00200,4,9,1,2,5.01,2,0,Organic,Tablet,0
V00201,1,2,0,0,0.4,1,1,Search,Tablet,0
V00202,7,24,5,2,8.71,0,1,Paid social,Mobile,1
V00203,6,19,2,0,8.14,2,0,Email,Tablet,0
V00204,3,13,1,0,3.56,3,2,Organic,Mobile,0
V00205,2,6,1,0,5.17,1,0,Affiliate,Mobile,1
V00206,9,34,3,3,8.04,5,1,Organic,Mobile,0
V00207,12,51,9,4,15.39,1,0,Affiliate,Tablet,1
V00208,11,59,4,0,11.72,0,3,Email,Mobile,1
V00209,12,53,9,3,15.84,1,4,Paid social,Mobile,1
V00210,6,18,2,0,9.37,2,2,Paid social,Tablet,1
V00211,9,22,1,1,6.65,3,0,Paid social,Tablet,1
V00212,11,53,11,5,16.19,2,0,Paid social,Tablet,1
V00213,13,45,3,1,11.94,2,0,Email,Desktop,0
V00214,8,25,2,1,7.34,4,1,Paid social,Mobile,0
V00215,4,13,1,1,4.83,2,0,Search,Desktop,0
V00216,8,20,4,1,9.65,0,0,Search,Desktop,1
V00217,14,77,11,4,16.55,1,3,Affiliate,Tablet,1
V00218,7,28,5,1,10.34,5,1,Affiliate,Desktop,1
V00219,10,28,5,3,10.9,2,0,Paid social,Mobile,1
V00220,1,2,0,1,3.48,1,4,Search,Tablet,0
V00221,14,70,12,5,19,1,0,Email,Mobile,1
V00222,5,10,2,0,3.49,5,2,Organic,Desktop,1
V00223,11,28,5,1,8.19,1,1,Email,Tablet,1
V00224,13,33,6,4,13.68,0,2,Paid social,Desktop,1
V00225,10,47,4,2,10.86,0,3,Email,Tablet,1
V00226,10,40,7,3,12.17,2,1,Organic,Desktop,1
V00227,5,13,1,0,5.85,0,0,Paid social,Desktop,0
V00228,10,32,4,0,9.36,3,1,Paid social,Mobile,0
V00229,13,44,9,3,16.59,1,3,Email,Mobile,1
V00230,3,12,2,1,4.58,4,2,Affiliate,Tablet,1
V00231,3,13,2,1,5.76,3,1,Email,Mobile,1
V00232,8,27,3,1,8.2,2,0,Affiliate,Tablet,1
V00233,4,20,2,1,5.81,0,1,Affiliate,Desktop,1
V00234,5,15,1,2,2.57,2,0,Affiliate,Mobile,1
V00235,2,6,1,1,4.17,0,2,Email,Desktop,0
V00236,6,30,3,2,4.89,2,0,Organic,Mobile,1
V00237,7,26,5,3,9.36,2,0,Email,Mobile,1
V00238,12,50,10,6,15.43,2,1,Paid social,Mobile,1
V00239,9,31,3,0,9.16,3,3,Organic,Mobile,1
V00240,13,54,9,6,16.9,1,0,Email,Desktop,1
V00241,7,13,1,1,8.35,0,2,Email,Desktop,0
V00242,7,29,4,2,10.01,2,3,Email,Tablet,1
V00243,13,59,12,6,17.15,6,4,Email,Desktop,1
V00244,4,12,1,1,5.88,2,4,Paid social,Desktop,1
V00245,10,39,5,1,10.45,2,0,Organic,Mobile,1
V00246,5,20,2,0,5.74,0,4,Paid social,Tablet,0
V00247,8,36,3,3,7.29,6,0,Organic,Tablet,1
V00248,13,30,2,0,7.17,0,3,Affiliate,Tablet,1
V00249,1,4,0,3,1.3,1,1,Affiliate,Mobile,0
V00250,11,25,4,2,9.75,0,0,Organic,Tablet,1
V00251,10,49,10,5,17.77,0,0,Search,Mobile,1
V00252,13,60,4,4,11.13,1,1,Affiliate,Desktop,1
V00253,1,8,1,2,2.82,2,1,Search,Mobile,0
V00254,7,25,2,1,4.84,2,0,Paid social,Mobile,0
V00255,11,52,7,4,8.86,4,4,Affiliate,Mobile,1
V00256,12,40,8,5,10.04,4,0,Organic,Desktop,1
V00257,1,1,0,0,0.88,4,0,Paid social,Mobile,1
V00258,4,8,1,0,7.85,3,1,Affiliate,Mobile,0
V00259,14,31,6,3,13.68,0,4,Email,Desktop,1
V00260,12,54,7,1,10.03,1,0,Paid social,Mobile,1
V00261,2,5,1,0,3.87,0,3,Search,Tablet,0
V00262,14,27,2,0,11.84,5,0,Email,Mobile,1
V00263,13,56,9,4,19,2,4,Search,Mobile,1
V00264,10,33,2,1,11.19,4,1,Paid social,Mobile,1
V00265,7,12,1,0,6.21,0,4,Paid social,Desktop,1
V00266,12,53,5,2,12.59,4,2,Affiliate,Tablet,1
V00267,8,20,4,3,13.3,3,0,Search,Tablet,1
V00268,10,34,2,0,4.92,2,3,Paid social,Mobile,0
V00269,14,32,3,2,10.79,0,0,Affiliate,Mobile,0
V00270,1,4,1,1,4.87,0,0,Affiliate,Desktop,0
V00271,13,35,2,0,10.83,3,3,Email,Desktop,0
V00272,9,29,3,1,7,2,0,Email,Desktop,1
V00273,1,3,0,0,2.91,5,0,Search,Desktop,0
V00274,8,33,3,2,10.16,4,1,Email,Desktop,1
V00275,8,34,4,1,7.92,4,1,Search,Mobile,1
V00276,9,46,4,1,6.55,3,0,Affiliate,Desktop,0
V00277,2,2,0,2,6.31,5,2,Paid social,Tablet,1
V00278,11,29,4,3,8.52,2,3,Organic,Tablet,1
V00279,12,52,9,3,15.25,0,1,Organic,Tablet,1
V00280,1,5,1,3,3.91,0,0,Paid social,Tablet,1
V00281,2,2,0,1,0.4,4,1,Organic,Mobile,0
V00282,14,67,7,2,14.26,0,0,Paid social,Tablet,1
V00283,11,24,2,0,9.81,0,4,Search,Tablet,0
V00284,5,14,1,0,2.97,5,1,Paid social,Desktop,1
V00285,5,19,4,1,5.42,2,1,Organic,Tablet,1
V00286,14,55,10,5,17.42,4,3,Paid social,Mobile,1
V00287,2,5,1,1,3.81,1,1,Search,Mobile,1
V00288,6,16,3,3,8.5,0,0,Paid social,Mobile,1
V00289,11,49,7,5,15.99,2,0,Search,Desktop,1
V00290,9,43,7,2,9.29,1,3,Email,Desktop,1
V00291,14,46,2,0,12.34,3,0,Email,Tablet,0
V00292,7,34,3,2,9.61,0,2,Search,Tablet,0
V00293,7,41,2,0,7.02,1,1,Search,Tablet,0
V00294,9,30,5,4,11.96,0,0,Affiliate,Tablet,1
V00295,8,29,3,0,6.03,1,0,Search,Tablet,0
V00296,7,25,5,1,10.29,1,0,Affiliate,Tablet,1
V00297,1,1,0,0,2.49,2,1,Organic,Desktop,0
V00298,9,45,9,2,13.31,2,2,Email,Tablet,1
V00299,7,28,5,2,12.96,0,0,Search,Desktop,1
V00300,4,16,1,0,3.44,1,0,Search,Mobile,0
V00301,3,17,3,1,7.21,1,1,Paid social,Desktop,1
V00302,2,10,1,0,3.82,0,2,Paid social,Desktop,1
V00303,2,8,0,0,3.25,2,3,Search,Mobile,0
V00304,3,10,1,0,8.29,2,1,Paid social,Desktop,1
V00305,6,19,3,3,4.99,3,4,Search,Mobile,1
V00306,10,41,7,4,14.14,2,2,Organic,Mobile,1
V00307,8,20,2,0,6.64,5,2,Search,Mobile,1
V00308,4,17,3,1,7.88,0,0,Organic,Tablet,1
V00309,8,35,3,1,9.39,3,0,Organic,Desktop,1
V00310,14,57,8,3,14.35,3,4,Paid social,Mobile,1
V00311,10,39,3,3,11.76,3,0,Email,Tablet,1
V00312,2,12,1,0,3.53,3,2,Paid social,Mobile,0
V00313,5,20,4,2,9.14,4,1,Organic,Desktop,1
V00314,2,6,1,2,4.57,1,0,Organic,Mobile,0
V00315,13,63,12,4,17.7,3,3,Search,Desktop,1
V00316,10,23,3,1,8.84,1,0,Search,Tablet,0
V00317,11,34,5,2,12.44,1,0,Email,Mobile,1
V00318,11,25,4,4,9.96,2,0,Search,Desktop,1
V00319,11,39,5,1,11.51,1,0,Search,Mobile,1
V00320,6,21,1,0,2.4,3,2,Paid social,Tablet,0
V00321,6,27,2,0,5.68,2,3,Affiliate,Mobile,1
V00322,6,16,1,1,6.42,4,1,Affiliate,Mobile,0
V00323,13,53,10,4,17.09,1,4,Organic,Tablet,1
V00324,13,65,4,2,12.64,4,3,Paid social,Tablet,1
V00325,11,47,8,2,10.51,0,0,Search,Mobile,1
V00326,4,17,3,0,6.7,0,4,Search,Mobile,1
V00327,14,37,3,0,10.85,6,3,Organic,Mobile,1
V00328,6,17,1,0,5.94,5,1,Email,Desktop,1
V00329,1,5,1,0,1.58,1,1,Paid social,Tablet,1
V00330,3,17,1,0,4.31,5,0,Affiliate,Tablet,0
V00331,5,24,4,2,8.33,0,1,Organic,Mobile,0
V00332,5,13,1,1,2.67,0,0,Affiliate,Mobile,1
V00333,10,30,2,2,11.75,2,3,Organic,Tablet,1
V00334,6,14,3,3,10.13,1,1,Paid social,Desktop,0
V00335,12,29,6,3,11.02,3,1,Search,Tablet,1
V00336,12,33,6,3,12.61,6,1,Paid social,Tablet,1
V00337,10,33,6,3,10.74,0,0,Organic,Mobile,1
V00338,13,40,6,3,9.81,0,3,Search,Mobile,1
V00339,1,3,0,1,3.75,0,0,Organic,Tablet,0
V00340,7,36,7,3,13.05,0,0,Search,Mobile,1
V00341,11,54,5,1,10.1,4,3,Affiliate,Mobile,1
V00342,8,24,2,0,6.04,0,0,Paid social,Mobile,1
V00343,13,65,8,3,18.63,0,4,Affiliate,Mobile,1
V00344,2,9,1,0,3.67,5,0,Search,Mobile,0
V00345,1,10,2,2,1.16,2,0,Affiliate,Tablet,0
V00346,11,25,4,2,9.97,3,1,Email,Mobile,1
V00347,11,47,4,0,10.46,6,4,Organic,Mobile,1
V00348,12,24,5,2,9.56,3,4,Paid social,Mobile,1
V00349,12,57,11,4,17.94,1,0,Affiliate,Tablet,1
V00350,3,6,1,0,6.19,4,0,Email,Mobile,1
V00351,9,23,3,1,9.29,1,4,Email,Tablet,1
V00352,5,23,2,2,3.78,6,0,Search,Mobile,1
V00353,11,26,4,3,9.95,5,1,Affiliate,Tablet,1
V00354,8,22,2,0,7.4,1,1,Paid social,Mobile,0
V00355,2,10,1,2,2.8,1,1,Email,Mobile,0
V00356,4,18,2,1,6.17,3,0,Email,Tablet,0
V00357,13,49,6,4,16.49,0,2,Organic,Tablet,1
V00358,12,51,10,3,15.74,3,1,Search,Tablet,1
V00359,11,58,5,3,12.43,1,4,Affiliate,Mobile,1
V00360,7,31,2,0,6.34,0,1,Affiliate,Mobile,0
V00361,7,38,5,2,9.61,3,3,Paid social,Desktop,1
V00362,8,31,5,3,8.04,2,0,Paid social,Mobile,1
V00363,9,47,6,2,11.37,0,1,Search,Mobile,1
V00364,4,17,3,2,6.06,2,3,Email,Desktop,1
V00365,12,24,1,1,9.52,4,4,Search,Mobile,0
V00366,11,45,9,3,11.39,1,1,Paid social,Desktop,1
V00367,3,17,3,2,8.55,3,0,Organic,Mobile,0
V00368,8,19,2,1,8.59,1,3,Search,Desktop,1
V00369,13,45,8,3,17.54,2,0,Affiliate,Desktop,1
V00370,13,51,3,1,9.04,4,2,Search,Mobile,1
V00371,3,11,1,1,5.66,0,0,Paid social,Mobile,1
V00372,12,49,3,1,5.12,2,3,Organic,Desktop,0
V00373,12,58,4,3,12.71,2,2,Email,Desktop,1
V00374,13,35,6,3,11.06,4,1,Paid social,Tablet,1
V00375,11,55,5,3,13.42,3,4,Email,Mobile,1
V00376,4,19,2,3,3.86,3,2,Affiliate,Mobile,1
V00377,4,10,2,0,4.69,4,4,Affiliate,Desktop,0
V00378,5,17,3,0,5.3,4,2,Affiliate,Tablet,0
V00379,13,40,7,1,16.44,2,0,Search,Tablet,1
V00380,2,7,1,0,3.52,2,0,Paid social,Desktop,0
V00381,13,63,10,4,14.34,4,0,Affiliate,Mobile,1
V00382,11,45,7,3,15.25,4,1,Email,Tablet,1
V00383,3,8,1,1,6.25,2,1,Search,Mobile,0
V00384,12,46,7,3,17.14,2,0,Affiliate,Tablet,1
V00385,2,7,1,0,6.44,1,3,Email,Mobile,0
V00386,7,35,7,4,9.26,1,1,Email,Tablet,1
V00387,3,11,2,0,4.11,0,1,Search,Desktop,0
V00388,13,49,4,1,14.12,3,0,Affiliate,Tablet,1
V00389,8,36,3,1,9.09,3,0,Search,Tablet,1
V00390,1,9,2,0,4.32,7,2,Paid social,Mobile,0
V00391,4,23,3,2,7.95,2,1,Search,Tablet,1
V00392,6,11,1,0,7.73,0,1,Search,Tablet,0
V00393,6,31,5,3,6.75,6,3,Email,Tablet,1
V00394,10,52,11,6,11.9,0,0,Paid social,Desktop,1
V00395,14,71,12,5,19,1,3,Search,Tablet,1
V00396,9,43,8,4,15.73,4,0,Email,Tablet,1
V00397,11,54,8,5,14.04,0,0,Paid social,Tablet,1
V00398,7,24,5,3,10.15,3,4,Organic,Desktop,1
V00399,4,13,3,1,5.45,4,0,Affiliate,Tablet,0
V00400,14,74,14,6,19,4,3,Email,Desktop,1
V00401,3,10,2,2,4.66,2,3,Paid social,Tablet,0
V00402,10,41,3,3,9.59,2,2,Organic,Mobile,1
V00403,9,37,3,0,10.9,0,3,Email,Desktop,1
V00404,12,58,4,2,10.37,3,0,Search,Mobile,1
V00405,9,47,4,3,8.76,7,1,Paid social,Tablet,1
V00406,10,22,3,1,7.8,3,2,Paid social,Mobile,1
V00407,3,22,3,1,7.07,5,0,Email,Desktop,1
V00408,7,17,2,0,3.58,1,4,Organic,Mobile,1
V00409,10,48,8,1,14.31,2,4,Organic,Tablet,1
V00410,13,55,10,4,15.66,3,1,Email,Desktop,1
V00411,14,34,3,2,9.04,4,4,Search,Tablet,0
V00412,13,53,10,4,12.18,2,0,Search,Desktop,1
V00413,10,46,5,1,12.17,3,1,Organic,Tablet,1
V00414,12,52,4,2,9.45,2,3,Email,Desktop,1
V00415,13,65,12,7,16.96,0,3,Organic,Desktop,1
V00416,14,50,10,5,19,1,0,Paid social,Mobile,1
V00417,7,26,3,2,7.07,2,0,Organic,Tablet,0
V00418,11,48,8,3,9.96,2,1,Affiliate,Mobile,1
V00419,11,26,3,2,10.5,2,0,Paid social,Desktop,1
V00420,6,19,2,2,5.78,3,0,Organic,Tablet,0
V00421,5,11,1,0,2.62,4,1,Organic,Tablet,0
V00422,10,26,2,1,8.61,4,0,Affiliate,Tablet,0
V00423,12,57,5,4,14.84,4,2,Paid social,Desktop,1
V00424,8,30,4,2,9.61,3,3,Email,Mobile,1
V00425,7,35,3,0,7.77,4,3,Organic,Mobile,1
V00426,3,16,1,1,5.34,1,2,Paid social,Mobile,1
V00427,3,6,1,0,2.23,1,0,Search,Mobile,0
V00428,6,21,4,3,8.81,6,3,Paid social,Desktop,1
V00429,7,28,2,4,5.88,1,3,Affiliate,Tablet,0
V00430,5,25,4,2,9.82,2,4,Paid social,Desktop,1
V00431,14,37,2,1,12.97,0,0,Organic,Tablet,1
V00432,13,61,10,6,14.41,3,0,Paid social,Tablet,1
V00433,7,21,2,0,5.64,3,2,Organic,Tablet,1
V00434,9,18,2,3,5,1,3,Email,Mobile,1
V00435,6,12,1,0,6.59,0,0,Affiliate,Tablet,0
V00436,5,14,1,0,5.67,5,3,Affiliate,Mobile,1
V00437,1,3,0,0,4.17,0,1,Search,Tablet,0
V00438,8,26,3,1,7.14,0,2,Paid social,Tablet,1
V00439,1,1,0,0,4.41,3,2,Email,Tablet,0
V00440,13,55,8,3,9.82,3,4,Organic,Mobile,1
V00441,9,40,5,1,10.45,2,1,Search,Mobile,1
V00442,13,66,12,7,17.81,0,1,Email,Desktop,1
V00443,4,19,4,2,9.43,2,1,Affiliate,Mobile,1
V00444,14,51,8,5,13.72,2,3,Email,Tablet,1
