customer_id,tenure_months,orders_12m,avg_order_value,return_rate,email_click_rate,loyalty_points,support_tickets,acquisition_channel,region,lifetime_value_12m
C00070,68,7,86.63,0.092,0.179,404,2,Referral,Northeast,985.96
C00071,22,11,36.81,0.153,0.207,366,0,Search,Midwest,531.07
C00072,44,6,24.01,0.169,0.244,110,2,Organic,Midwest,188.6
C00073,8,9,74.13,0.151,0.203,781,2,Store,Midwest,712.71
C00074,65,8,83.54,0.174,0.276,787,2,Store,Northeast,1094.3
C00075,15,11,85.3,0.19,0.225,754,2,Referral,South,1104.57
C00076,5,1,55.04,0.19,0.005,48,1,Search,West,20
C00077,53,5,95.72,0.075,0.194,409,1,Store,West,740.3
C00078,10,13,63.33,0.08,0.275,973,1,Store,Northeast,793.91
C00079,20,1,22.25,0.226,0.17,22,2,Referral,Midwest,20
C00080,50,6,31.3,0.233,0.25,219,1,Paid social,Northeast,317.48
C00081,19,8,54.35,0.152,0.281,360,2,Referral,West,426.65
C00082,27,5,74.22,0.21,0.229,237,3,Store,Midwest,312.2
C00083,24,8,74.61,0.166,0.354,580,2,Store,South,636.89
C00084,57,7,43.98,0.145,0.204,268,1,Paid social,Midwest,367.1
C00085,41,3,43.65,0.141,0.161,142,2,Paid social,Midwest,139.16
C00086,10,1,26.18,0.118,0.216,20,3,Paid social,Northeast,151.31
C00087,40,1,28.71,0.18,0.194,31,2,Paid social,South,20
C00088,43,5,60.64,0.134,0.183,244,0,Referral,West,415.86
C00089,65,9,38.96,0.131,0.175,351,2,Organic,West,498.9
C00090,42,9,84.13,0.102,0.26,753,0,Store,Midwest,1023.43
C00091,18,4,43.11,0.196,0.061,125,3,Search,Midwest,110.11
C00092,67,6,36.16,0.179,0.236,193,2,Store,West,271.85
C00093,28,8,77.62,0.203,0.218,529,2,Referral,Midwest,791.85
C00094,54,10,93.01,0.035,0.186,915,1,Organic,Midwest,1334.27
C00095,59,6,105.35,0.092,0.274,412,0,Organic,Northeast,868.3
C00096,44,6,66.97,0.139,0.18,334,1,Store,Midwest,385.53
C00097,2,8,54.69,0.073,0.38,317,1,Referral,South,378.58
C00098,11,2,24.76,0.136,0.037,54,1,Organic,Midwest,40.05
C00099,12,4,19.31,0.181,0.174,89,2,Store,Midwest,203.35
C00100,46,2,82.02,0.086,0.171,152,1,Search,Midwest,261.62
C00101,9,3,45.03,0.247,0.028,91,1,Organic,Midwest,20
C00102,47,9,86.21,0.12,0.289,618,1,Search,Northeast,1069.5
C00103,56,4,75.65,0.146,0.25,192,0,Referral,West,436.18
C00104,17,1,26.58,0.19,0.13,17,2,Store,Northeast,33.85
C00105,56,7,41.3,0.189,0.17,323,2,Search,South,368.86
C00106,38,6,60.69,0.137,0.202,379,2,Organic,West,605.1
C00107,65,5,53.59,0.117,0.258,306,1,Store,South,498.62
C00108,19,7,20.74,0.073,0.307,123,2,Organic,West,159.3
C00109,34,7,88.72,0.178,0.198,744,0,Organic,Northeast,662.98
C00110,58,2,59.01,0.105,0.333,124,1,Organic,Northeast,20
C00111,59,6,28.37,0.18,0.108,194,2,Search,South,119.37
C00112,70,12,63.86,0.152,0.208,605,1,Store,West,1234.9
C00113,66,16,92.07,0.093,0.447,1717,2,Paid social,South,2237.76
C00114,20,7,54.03,0.224,0.261,364,0,Referral,West,487.64
C00115,12,6,54.96,0.128,0.203,279,1,Referral,West,252.28
C00116,59,9,53.66,0.176,0.343,389,1,Search,Northeast,598.09
C00117,46,2,37.69,0.062,0.276,88,1,Store,Midwest,96.72
C00118,34,8,49.42,0.181,0.385,461,0,Store,Midwest,473.33
C00119,50,6,52.29,0.132,0.232,265,1,Paid social,South,463.04
C00120,19,1,58.39,0.158,0.171,55,3,Search,West,79.16
C00121,31,13,89.4,0.082,0.153,1003,1,Organic,Midwest,1400.02
C00122,11,3,30.78,0.184,0.092,111,1,Store,Midwest,126.04
C00123,53,3,62.63,0.045,0.055,142,3,Referral,Midwest,189.7
C00124,32,5,68.82,0.019,0.166,300,2,Search,Northeast,561
C00125,39,6,12.56,0.198,0.184,73,2,Paid social,Midwest,49.77
C00126,26,7,50.46,0.153,0.292,249,1,Referral,Northeast,337.73
C00127,27,7,87.57,0.08,0.214,694,2,Store,West,788.43
C00128,33,7,87.74,0.142,0.203,430,1,Paid social,Northeast,701.47
C00129,19,3,12,0.111,0.097,23,1,Search,South,127.64
C00130,43,3,59.33,0.156,0.162,157,1,Store,Midwest,204.12
C00131,47,2,25.57,0.068,0.084,54,1,Organic,West,62.37
C00132,38,10,91.49,0.195,0.262,940,1,Paid social,Northeast,1067.35
C00133,45,9,16.42,0.085,0.194,132,2,Search,West,204.36
C00134,52,2,91.71,0.134,0.398,143,1,Store,South,235.66
C00135,15,3,76.61,0.086,0.172,259,2,Paid social,Northeast,189.43
C00136,35,7,128.14,0.151,0.349,1043,0,Store,Midwest,1147.31
C00137,19,7,62.6,0.124,0.158,419,1,Paid social,Northeast,429.3
C00138,63,4,63.63,0.012,0.175,159,1,Referral,Northeast,353.96
C00139,3,2,53.57,0.119,0.077,85,0,Paid social,Northeast,57.4
C00140,44,9,79.87,0.081,0.364,490,0,Organic,South,1063.62
C00141,42,8,78.88,0.12,0.225,510,2,Organic,Midwest,755.79
C00142,28,10,96.35,0.094,0.242,806,2,Store,Midwest,1370.82
C00143,42,3,50.07,0.099,0.2,160,2,Referral,Midwest,54.18
C00144,16,9,66.09,0.101,0.111,473,1,Referral,Midwest,636.34
C00145,66,13,100.52,0.117,0.279,1431,1,Search,Midwest,2046.61
C00146,19,6,54.15,0.169,0.305,320,1,Store,Northeast,322.53
C00147,20,1,28.59,0.115,0.236,29,2,Referral,West,20
C00148,43,10,87.56,0.104,0.063,788,0,Referral,Midwest,1094.03
C00149,65,8,20.93,0.184,0.192,170,1,Search,South,348.45
C00150,41,1,44.87,0.203,0.042,32,1,Search,Northeast,184.04
C00151,58,3,35.65,0.072,0.243,71,0,Paid social,West,330.43
C00152,50,14,55.09,0.162,0.199,812,0,Paid social,South,1078.54
C00153,42,6,52.05,0.107,0.118,212,1,Paid social,West,333.85
C00154,56,4,42.78,0.103,0.062,158,2,Organic,Midwest,348.58
C00155,11,2,50.34,0.176,0.179,104,2,Referral,West,96.29
C00156,22,5,74.8,0.195,0.134,381,2,Referral,West,253.9
C00157,10,6,23.2,0.131,0.099,95,2,Referral,Northeast,182.63
C00158,32,3,61.77,0.202,0.048,218,1,Paid social,West,260.54
C00159,71,9,116.21,0.124,0.317,1117,3,Referral,Northeast,1619.91
C00160,33,3,84.33,0.105,0.223,226,1,Search,South,426.7
C00161,50,5,82.95,0.092,0.338,465,1,Store,Northeast,488.5
C00162,43,8,86.35,0.163,0.24,796,1,Store,Northeast,937.82
C00163,61,10,42.58,0.105,0.247,422,1,Organic,Midwest,533.42
C00164,26,6,19.31,0.122,0.28,131,1,Referral,Midwest,138.03
C00165,42,5,40.98,0.155,0.163,147,2,Search,Midwest,382.24
C00166,4,3,89.11,0.01,0.19,289,1,Referral,Northeast,170.01
C00167,71,7,64.67,0.156,0.296,310,0,Organic,West,734.31
C00168,61,1,17.45,0.098,0.209,20,0,Paid social,Midwest,20
C00169,7,6,12,0.188,0.175,57,1,Store,Midwest,45.96
C00170,44,4,90.42,0.197,0.187,310,2,Referral,West,444.1
C00171,58,11,94.69,0.206,0.201,766,1,Paid social,South,1349.69
C00172,23,4,50.38,0.159,0.133,204,1,Referral,South,247.5
C00173,21,6,32.19,0.019,0.228,211,1,Organic,Midwest,230.2
C00174,14,7,35.02,0.176,0.144,232,0,Paid social,Midwest,195.36
C00175,16,7,18.15,0.231,0.096,79,2,Store,Northeast,72.22
C00176,9,6,35.85,0.096,0.028,228,2,Referral,Midwest,392.09
C00177,59,11,106.92,0.051,0.171,1123,1,Paid social,South,1868.84
C00178,65,17,85,0.112,0.273,1105,1,Organic,Northeast,2188.69
C00179,19,9,90.55,0.048,0.285,536,0,Paid social,Midwest,918.14
C00180,49,6,50.15,0.128,0.142,196,1,Organic,West,439.08
C00181,69,5,61.98,0.045,0.177,226,1,Organic,Midwest,421.45
C00182,51,13,115.06,0.214,0.302,1168,1,Store,West,1974.3
C00183,2,1,49.32,0.168,0.172,44,1,Paid social,South,130.93
C00184,45,2,30.51,0.06,0.244,71,0,Paid social,Northeast,103.34
C00185,29,3,68.63,0.184,0.28,143,2,Paid social,South,273.98
C00186,48,8,64.33,0.189,0.253,550,2,Organic,West,609.79
C00187,65,4,21.82,0.191,0.231,103,1,Referral,West,75.68
C00188,65,12,119.33,0.117,0.329,1168,1,Organic,West,2078.05
C00189,66,5,52.06,0.116,0.237,162,2,Referral,South,520.24
C00190,58,13,93.42,0.062,0.324,1388,1,Referral,Northeast,1832.07
C00191,36,6,111.63,0.164,0.211,789,0,Store,Northeast,553.87
C00192,2,14,94.77,0.089,0.247,1138,1,Organic,Northeast,1471.93
C00193,4,5,45.73,0.204,0.188,205,0,Paid social,Midwest,130.57
C00194,53,2,56.62,0.169,0.193,121,2,Paid social,Northeast,258.87
C00195,42,5,35.64,0.088,0.15,149,2,Search,South,325.75
C00196,12,1,42.2,0.226,0,43,3,Paid social,Midwest,20
C00197,25,4,56.06,0.183,0.127,234,1,Referral,West,179.11
C00198,69,6,28.81,0.105,0.071,175,0,Paid social,South,251.96
C00199,6,1,61.83,0.05,0.193,62,2,Search,West,131.43
C00200,59,7,72.42,0.108,0.218,528,1,Referral,Midwest,768.3
C00201,27,2,39.42,0.187,0.173,64,0,Paid social,West,106.09
C00202,29,5,88.72,0.169,0.217,275,1,Referral,West,622.59
C00203,8,11,88.05,0.164,0.165,1088,1,Store,South,935.26
C00204,61,12,143.28,0.129,0.452,2014,0,Search,South,2485.92
C00205,23,6,63.92,0.115,0.243,388,0,Search,Northeast,346.63
C00206,56,4,57.2,0.109,0.307,153,1,Organic,Northeast,473.09
C00207,50,10,110.21,0.107,0.26,967,2,Paid social,Midwest,1540.5
C00208,48,8,58.88,0.172,0.246,289,0,Store,Midwest,564.67
C00209,31,5,84.3,0.105,0.276,264,1,Referral,Northeast,532.42
C00210,51,10,74.84,0.048,0.382,886,1,Paid social,Northeast,1097.18
C00211,23,1,12,0.191,0.094,8,3,Paid social,Northeast,102.59
C00212,69,3,91.05,0.059,0.215,177,0,Store,West,465.39
C00213,43,6,22.09,0.14,0.213,87,2,Organic,South,216.23
C00214,28,6,14.38,0.23,0.025,58,0,Paid social,South,36.73
C00215,34,5,39.63,0.11,0.338,146,0,Search,West,306.82
C00216,68,13,65.81,0.023,0.26,823,1,Paid social,Midwest,1422.38
C00217,17,1,87.48,0.159,0.138,77,2,Referral,Northeast,265.03
C00218,46,2,40.05,0.183,0.255,93,3,Store,Northeast,20
C00219,32,10,66.45,0.122,0.349,408,1,Organic,West,799.63
C00220,70,7,31,0.176,0.204,202,0,Store,South,353.85
C00221,16,3,42.5,0.2,0.198,127,1,Referral,Midwest,335.47
C00222,37,7,73.18,0.187,0.257,338,2,Store,West,632.06
C00223,39,2,17.51,0.079,0.088,36,1,Paid social,Northeast,20
C00224,37,15,107.63,0.036,0.272,1527,0,Paid social,South,2334.67
C00225,66,8,63.94,0.135,0.431,402,1,Search,South,641.75
C00226,37,7,36.35,0.162,0,265,2,Paid social,West,409.45
C00227,21,13,89.12,0.115,0.255,885,1,Paid social,West,1292.4
C00228,7,9,69.9,0.119,0.244,625,2,Paid social,South,563.37
C00229,59,11,61.15,0.057,0.296,532,1,Store,Northeast,1113.77
C00230,35,7,67.98,0.093,0.161,349,0,Store,Midwest,690.43
C00231,14,8,18.26,0.228,0.222,116,0,Organic,South,131.75
C00232,2,9,114.2,0.09,0.353,1217,1,Referral,West,1115.28
C00233,40,9,67.9,0.191,0.27,506,2,Store,South,767.34
C00234,62,7,92.56,0.062,0.116,395,1,Referral,South,875.79
C00235,18,10,30.66,0.047,0.351,362,1,Store,Midwest,380.62
C00236,46,2,43.72,0.271,0.054,60,1,Store,West,20
C00237,60,12,73.33,0.102,0.157,532,2,Paid social,West,1210.27
C00238,62,12,126.64,0.071,0.428,1647,1,Referral,Midwest,2353.24
C00239,70,17,90.16,0.2,0.37,1737,1,Store,Northeast,2121.51
C00240,70,4,102.87,0.099,0.174,384,0,Search,West,671.35
C00241,69,9,74.61,0.151,0.259,795,0,Search,West,930.31
C00242,14,3,80.15,0.107,0.168,226,2,Search,Midwest,207.93
C00243,6,13,73.16,0.067,0.382,1004,0,Search,Midwest,1123.23
C00244,65,7,58.06,0.111,0.101,280,1,Search,South,702.81
C00245,70,9,36.04,0.051,0.231,344,1,Referral,Northeast,371.3
C00246,35,8,113.88,0.11,0.252,721,1,Store,South,1144.69
C00247,8,1,51.73,0.145,0,59,2,Referral,South,61.28
C00248,3,1,28.3,0.176,0.186,18,2,Referral,West,109.3
C00249,16,5,47.55,0.08,0.128,237,1,Organic,Midwest,377.2
C00250,41,8,28.5,0.109,0.159,143,1,Search,South,303.19
C00251,53,9,46.4,0.16,0.391,497,2,Search,West,624.48
C00252,36,5,96.43,0.15,0.292,548,0,Search,South,574.68
C00253,17,8,96.06,0.036,0.262,709,0,Search,South,802.62
C00254,32,3,62.45,0.165,0.196,195,1,Referral,Northeast,218
C00255,57,1,75.41,0.168,0.168,49,1,Search,Midwest,143.44
C00256,56,12,81.15,0.151,0.388,1163,0,Store,Midwest,1401.15
C00257,3,9,57.12,0.163,0.33,568,1,Organic,Midwest,443.79
C00258,48,7,29.13,0.029,0.15,181,2,Paid social,Midwest,421.44
C00259,25,4,102.72,0.135,0.167,249,2,Referral,West,484.45
C00260,68,3,92.67,0.099,0.278,194,0,Store,West,374.71
C00261,41,6,62.81,0.08,0.376,408,1,Search,Northeast,564.87
C00262,23,10,105.66,0.148,0.302,1050,1,Store,Midwest,1288.53
C00263,9,7,38.62,0.276,0.067,210,3,Referral,South,241.62
C00264,53,11,144.04,0.012,0.304,1853,1,Search,South,2579.47
C00265,13,2,77.57,0.097,0.352,109,2,Referral,West,191.27
C00266,26,4,80.91,0.256,0.196,238,3,Store,Midwest,533.17
C00267,30,1,50.25,0.133,0.212,30,2,Referral,Midwest,20
C00268,63,11,101.85,0.17,0.314,713,1,Organic,South,1416.53
C00269,30,10,81.99,0.209,0.311,751,0,Organic,Northeast,964.23
C00270,23,6,57.36,0.133,0.051,292,0,Paid social,West,293.84
C00271,41,2,52.39,0.114,0.165,123,1,Search,Midwest,183.79
C00272,2,5,82.4,0.222,0.101,395,2,Organic,Northeast,322.14
C00273,33,4,44.59,0.156,0.072,126,1,Store,Northeast,188.58
C00274,68,3,36.48,0.226,0.184,80,1,Search,West,142.06
C00275,71,8,126,0.065,0.464,971,1,Search,Midwest,1597.09
C00276,20,8,45.76,0.15,0.183,271,1,Paid social,South,444.92
C00277,39,4,80.26,0.139,0.217,229,1,Referral,West,463.6
C00278,40,5,53.41,0.177,0.201,275,1,Organic,West,218
C00279,44,7,37.23,0.144,0.326,245,0,Search,South,464.1
C00280,55,4,100.7,0.198,0.294,289,0,Store,South,502.94
C00281,20,2,49.09,0.15,0.241,95,2,Referral,Northeast,89.75
C00282,13,1,47.26,0.161,0.086,34,1,Referral,South,47.12
C00283,7,3,31.08,0.218,0.262,94,2,Store,South,129.78
C00284,55,8,84.66,0.083,0.248,427,1,Referral,Northeast,1061.38
C00285,6,4,57.1,0.108,0,222,2,Search,West,321.43
C00286,13,6,33.4,0.015,0.149,200,1,Paid social,Midwest,282.21
C00287,50,11,96.68,0.089,0.253,639,1,Paid social,Northeast,1530.24
C00288,43,1,78.4,0.215,0.034,62,2,Search,South,149.74
C00289,48,6,68.63,0.211,0.34,433,1,Referral,South,357.01
C00290,22,1,14.85,0.207,0.121,13,3,Store,Midwest,35.67
C00291,43,11,48.26,0.067,0.126,496,0,Search,West,647.47
C00292,15,1,33.63,0.241,0,39,1,Paid social,West,20
C00293,66,5,48.43,0.176,0.331,176,1,Search,South,343.01
C00294,60,8,61.37,0.103,0.166,392,4,Paid social,South,665.55
C00295,59,7,111.68,0.11,0.41,682,1,Organic,South,975.45
C00296,68,4,87.75,0.079,0.243,287,1,Store,West,607.71
C00297,4,1,15.18,0.204,0.008,16,2,Search,Midwest,75
C00298,61,5,59.55,0.207,0.139,294,0,Organic,Northeast,432.99
C00299,13,11,66.09,0.092,0.142,522,1,Store,Midwest,743.05
C00300,48,9,88.05,0.02,0.193,948,0,Referral,South,1170.17
C00301,32,3,86.99,0.137,0.161,214,1,Paid social,West,205.79
C00302,67,8,96.07,0.092,0.224,566,1,Paid social,Northeast,1293.74
C00303,44,9,35.28,0.182,0.265,193,0,Search,Northeast,428.32
C00304,67,9,43.9,0.118,0.229,368,0,Organic,Northeast,644.15
C00305,48,9,91.81,0.198,0.165,991,2,Referral,Midwest,1110.26
C00306,4,1,53.53,0.222,0.161,50,1,Referral,Midwest,20
C00307,17,1,27.76,0.113,0.039,21,3,Store,South,132.97
C00308,41,11,36.49,0.126,0.211,306,2,Search,Northeast,494.47
C00309,56,4,65.55,0.158,0.245,199,1,Store,Midwest,240.85
C00310,55,10,64.58,0.136,0.324,526,2,Paid social,Midwest,911.66
C00311,56,6,83.44,0.169,0.173,410,1,Search,South,766
C00312,53,10,87.87,0.054,0.038,956,2,Organic,Northeast,1222.84
C00313,69,11,94.36,0.015,0.261,1243,2,Paid social,South,1813.93
C00314,16,10,112.06,0.109,0.316,1263,0,Referral,South,1221.45
C00315,9,3,24.67,0.162,0.158,81,2,Organic,West,87.27
C00316,41,2,88.16,0.16,0.172,155,0,Search,South,130.72
C00317,69,6,34.98,0.122,0.276,137,1,Referral,South,289.47
C00318,50,7,75.82,0.163,0.279,369,1,Referral,Northeast,683.02
C00319,36,7,59.25,0.113,0.241,295,1,Store,Midwest,366.4
C00320,54,10,70.74,0.123,0.304,675,0,Paid social,Northeast,904.13
C00321,25,2,54.54,0.199,0,70,1,Paid social,West,40.03
C00322,63,11,106.7,0.148,0.358,906,2,Organic,South,1640.18
C00323,21,4,69.89,0.146,0.179,246,1,Organic,South,238.66
C00324,64,10,41.28,0.097,0.275,404,1,Organic,Northeast,606.64
C00325,20,8,45.87,0.075,0.137,405,0,Organic,West,484.56
C00326,34,10,83.5,0.217,0.27,755,3,Organic,Midwest,1006.05
C00327,16,9,49.87,0.208,0.142,447,1,Organic,West,229.35
C00328,60,5,85.98,0.099,0.172,320,1,Store,Midwest,538.68
C00329,13,5,60.61,0.2,0.134,313,0,Search,West,168.9
C00330,26,9,60.99,0.093,0.226,578,2,Referral,Midwest,703.73
C00331,3,1,61.58,0.09,0.147,57,3,Referral,Northeast,171.3
C00332,39,1,17.59,0.131,0.034,12,0,Paid social,West,20
C00333,50,8,55.71,0.101,0.139,485,2,Paid social,Midwest,545.94
C00334,41,6,49.39,0.13,0.186,288,1,Referral,Midwest,347.17
C00335,40,14,76.94,0.06,0.156,671,2,Organic,West,1457.01
C00336,43,10,40.75,0.002,0.286,392,0,Paid social,Northeast,656.01
C00337,6,1,46.6,0.149,0.199,40,2,Organic,West,215.56
C00338,36,5,55.44,0.122,0.267,251,2,Search,South,262.07
C00339,23,1,69.62,0.124,0.168,54,1,Store,Midwest,78.71
C00340,23,9,118.95,0.144,0.301,920,1,Organic,Northeast,1214.56
C00341,60,10,60.45,0.165,0.379,425,0,Store,Northeast,681.58
C00342,54,4,75.87,0.023,0.251,216,2,Paid social,South,463.21
C00343,4,4,29.38,0.206,0.242,129,2,Store,South,124.07
C00344,28,3,36.74,0.077,0.106,84,2,Store,Midwest,349.77
C00345,35,7,49.48,0.146,0.02,299,0,Paid social,South,353.12
C00346,45,11,71.91,0.101,0.149,760,1,Search,West,1168.09
C00347,36,6,62.6,0.173,0.277,271,1,Referral,Northeast,397.48
C00348,25,8,67.72,0.077,0.293,422,1,Paid social,West,668.9
C00349,61,9,85.36,0.141,0.132,914,1,Referral,Northeast,1254.43
C00350,5,2,31.64,0.17,0.224,65,0,Organic,West,20
C00351,28,3,39.24,0.2,0.088,136,0,Organic,Northeast,268.88
C00352,45,5,80.27,0.13,0.185,426,2,Referral,South,562.74
C00353,52,12,84.48,0.097,0.182,612,2,Search,Northeast,1570.02
C00354,6,7,66.27,0.143,0.184,330,1,Organic,West,556.54
C00355,61,4,71.42,0.147,0.311,203,1,Search,Northeast,346.02
C00356,2,1,76.53,0.196,0,49,2,Paid social,West,193.21
C00357,12,11,57.57,0.161,0.064,456,1,Search,South,642.56
C00358,16,4,128.74,0.123,0.228,423,0,Search,Midwest,625.11
C00359,18,3,25.92,0.166,0.102,83,1,Paid social,South,43.07
C00360,3,3,53.34,0.12,0.113,176,1,Search,West,350.77
C00361,38,4,26.9,0.133,0.28,98,2,Referral,West,166.59
C00362,67,10,100.71,0.101,0.142,1197,0,Referral,South,1611.78
C00363,27,6,12,0.176,0.033,76,1,Search,West,256.28
C00364,35,4,57.16,0.199,0.349,228,0,Organic,Northeast,247.66
C00365,69,3,26.71,0.1,0.145,89,2,Referral,South,38.84
C00366,52,9,75.24,0.209,0.141,440,0,Paid social,Northeast,777.67
C00367,41,4,55.81,0.205,0.177,154,1,Organic,Northeast,243.59
C00368,34,6,62.48,0.118,0.213,320,1,Store,West,572.75
C00369,46,6,85.73,0.161,0.224,488,2,Organic,South,521.69
C00370,29,1,14.31,0.157,0.168,9,1,Referral,West,47.22
C00371,59,9,65.54,0.083,0.266,581,1,Store,West,844.35
C00372,37,10,88.51,0.211,0.122,934,0,Paid social,West,926.48
C00373,15,9,43.79,0.075,0.236,322,1,Organic,Northeast,438.67
C00374,53,7,41.65,0.101,0.273,177,0,Referral,Midwest,397.22
C00375,36,5,67.4,0.086,0.096,331,1,Referral,Midwest,431.16
C00376,36,3,25.85,0.194,0.196,57,0,Referral,Northeast,47.5
C00377,63,6,71.01,0.224,0.291,439,0,Store,Midwest,584.41
C00378,10,6,86.25,0.109,0.268,585,0,Paid social,Midwest,537.39
C00379,60,4,72.65,0.233,0.222,285,1,Organic,Midwest,498.64
C00380,54,4,52.85,0.166,0.178,187,1,Paid social,Northeast,226.13
C00381,68,8,31.91,0.139,0.081,268,1,Referral,West,430.81
C00382,48,3,69.19,0.126,0.214,247,0,Search,Northeast,397.34
C00383,37,7,48.6,0.162,0.14,208,2,Referral,Midwest,396.35
C00384,5,1,70.55,0.241,0.058,47,3,Search,Northeast,20
C00385,53,7,66.16,0.097,0.161,300,1,Organic,Midwest,617.83
C00386,41,3,69.83,0.097,0.083,133,1,Organic,Midwest,234.04
C00387,53,8,89.02,0.051,0.226,463,3,Paid social,West,1100.76
C00388,58,4,21.67,0.153,0.161,90,2,Referral,West,187.62
C00389,20,7,71.91,0.183,0.188,595,0,Organic,West,672.24
C00390,58,11,73.88,0.157,0.332,546,1,Search,West,1145.42
C00391,22,10,81.9,0.15,0.3,613,2,Search,South,994.4
C00392,62,9,60.45,0.14,0.183,378,2,Organic,West,755.55
