customer_id,promotion_received,discount_pct,days_since_purchase,orders_6m,avg_basket,full_price_share,email_engagement,loyalty_tier,preferred_category,purchased_30d
P00050,1,20,34,3,92.24,0.792,0.236,Platinum,Apparel,1
P00051,1,15,13,5,46.29,0.787,0.085,Gold,Beauty,1
P00052,1,15,12,4,102.97,0.511,0.241,Silver,Electronics,0
P00053,1,20,97,4,86.77,1,0.025,Platinum,Electronics,1
P00054,0,0,40,5,96.03,0.839,0.167,Gold,Apparel,1
P00055,1,10,64,3,50.86,0.14,0.508,Silver,Beauty,1
P00056,1,20,87,5,31.92,0.153,0.202,Silver,Apparel,0
P00057,0,0,77,6,38.52,0.331,0.094,Silver,Beauty,0
P00058,0,0,71,4,38.82,0.502,0.188,Gold,Apparel,1
P00059,0,0,74,4,71.36,0.587,0.266,None,Beauty,0
P00060,0,0,46,7,9,0.335,0,None,Grocery,0
P00061,0,0,55,4,85.95,0.421,0.365,Platinum,Beauty,0
P00062,0,0,100,1,81.16,0.457,0.235,Platinum,Apparel,0
P00063,0,0,53,5,82.21,0.447,0.262,None,Beauty,0
P00064,1,20,71,6,28.44,0.02,0.183,None,Electronics,1
P00065,0,0,29,6,23.61,0.457,0.096,Platinum,Apparel,0
P00066,0,0,77,2,46.3,0.614,0.34,Gold,Home,0
P00067,1,20,85,2,50.64,0.541,0.101,Platinum,Electronics,1
P00068,0,0,16,9,59.39,0.134,0.152,Silver,Electronics,0
P00069,1,15,15,8,90.09,0.851,0.064,None,Beauty,0
P00070,0,0,77,5,78.75,0.435,0.273,Silver,Grocery,0
P00071,1,20,42,6,83.54,0.433,0.248,Gold,Home,1
P00072,1,15,18,8,45.56,0.52,0.121,Platinum,Beauty,0
P00073,0,0,47,6,94.58,0.582,0.617,Platinum,Apparel,0
P00074,0,0,106,3,51.63,0.441,0.312,Gold,Home,0
P00075,1,15,101,7,55.76,0.184,0.235,Silver,Grocery,1
P00076,1,25,53,5,83.77,0.359,0.206,Platinum,Electronics,1
P00077,0,0,62,6,47.11,0.397,0.068,Gold,Grocery,0
P00078,0,0,52,6,86.19,0.791,0.326,Gold,Electronics,1
P00079,0,0,106,4,28.78,0.674,0.368,Platinum,Electronics,0
P00080,0,0,103,4,33.65,0.02,0.308,Gold,Home,0
P00081,1,25,72,5,69.53,0.708,0.201,Platinum,Apparel,1
P00082,1,10,22,8,50.16,0.292,0.26,None,Grocery,1
P00083,1,20,64,7,68.84,0.492,0.351,Gold,Apparel,0
P00084,0,0,65,3,26.08,0.98,0.071,Gold,Electronics,0
P00085,0,0,69,1,64.9,0.35,0.302,Platinum,Grocery,0
P00086,0,0,107,4,68.97,0.914,0.01,Silver,Apparel,0
P00087,0,0,98,5,125.68,0.429,0.122,Silver,Home,0
P00088,0,0,73,5,87.32,0.432,0.327,Platinum,Home,0
P00089,1,10,26,10,66.67,0.554,0.258,Silver,Apparel,1
P00090,1,15,31,7,52.26,0.448,0.112,Gold,Electronics,1
P00091,0,0,86,5,51.67,0.286,0.226,Platinum,Electronics,0
P00092,1,15,79,3,41.26,0.375,0.189,Silver,Home,1
P00093,0,0,50,2,78.6,0.708,0.097,None,Electronics,0
P00094,0,0,19,5,109.62,0.537,0.261,Silver,Home,0
P00095,0,0,29,6,104.65,0.935,0,Platinum,Electronics,0
P00096,0,0,56,6,101.25,0.149,0.098,Gold,Beauty,0
P00097,0,0,45,6,67.77,0.645,0.122,Silver,Electronics,0
P00098,0,0,103,3,39.64,0.421,0.306,Platinum,Home,0
P00099,1,25,19,4,42.65,0.314,0.271,Platinum,Apparel,0
P00100,0,0,111,6,49.2,0.36,0.037,Platinum,Electronics,0
P00101,0,0,10,6,32.72,0.645,0.033,None,Beauty,0
P00102,0,0,91,3,80.31,0.532,0.154,Platinum,Grocery,0
P00103,0,0,82,7,73.7,0.583,0.311,Silver,Electronics,0
P00104,0,0,28,3,110.15,0.168,0.163,Silver,Grocery,0
P00105,1,20,11,6,92.54,0.751,0.342,Gold,Electronics,1
P00106,0,0,59,5,17.39,0.23,0,Platinum,Grocery,1
P00107,1,15,95,1,38.88,0.343,0.084,Platinum,Apparel,0
P00108,1,15,40,8,57.71,0.409,0.094,Silver,Beauty,0
P00109,0,0,30,9,65.22,0.547,0.311,Silver,Electronics,0
P00110,0,0,73,5,83.33,0.486,0.107,None,Apparel,1
P00111,0,0,16,5,9,0.075,0.034,None,Electronics,1
P00112,1,25,102,5,89.19,0.814,0.3,None,Grocery,0
P00113,1,10,103,4,45.16,0.07,0.17,Gold,Grocery,1
P00114,0,0,27,6,9,0.251,0.302,Gold,Beauty,0
P00115,0,0,94,4,78.76,0.351,0.248,Platinum,Home,0
P00116,0,0,7,8,113.62,0.027,0.482,Silver,Home,1
P00117,1,20,21,8,76.87,0.204,0.009,Gold,Beauty,1
P00118,0,0,31,5,35.51,0.393,0.266,Platinum,Electronics,1
P00119,0,0,98,3,63.75,0.41,0.091,Gold,Grocery,0
P00120,0,0,44,6,47.62,0.371,0.126,Platinum,Electronics,0
P00121,0,0,15,4,96.06,0.45,0.408,None,Beauty,0
P00122,1,20,42,6,23.24,0.382,0.323,Silver,Home,1
P00123,1,15,9,9,101.18,0.268,0.14,Gold,Electronics,1
P00124,0,0,47,3,51.4,0.51,0.312,None,Grocery,1
P00125,0,0,5,8,83.29,0.913,0.414,None,Grocery,1
P00126,0,0,14,6,27.39,0.856,0.132,Gold,Home,1
P00127,1,15,34,7,31.4,0.539,0.2,Silver,Home,1
P00128,1,20,30,8,23.6,0.533,0.39,Gold,Home,1
P00129,0,0,8,9,22.68,0.712,0.146,Silver,Grocery,1
P00130,0,0,18,9,59.16,0.512,0.172,Platinum,Grocery,1
P00131,1,10,84,2,73.94,0.932,0.096,Silver,Beauty,1
P00132,1,10,88,3,58.75,0.712,0.339,Platinum,Apparel,1
P00133,1,10,67,6,70.63,0.409,0.13,None,Home,1
P00134,1,10,21,5,68.98,0.304,0.367,Platinum,Grocery,1
P00135,0,0,100,3,112.11,0.253,0.043,Silver,Electronics,1
P00136,1,20,34,5,82.4,0.433,0.163,Silver,Home,0
P00137,0,0,109,5,31.7,0.489,0.11,Platinum,Apparel,0
P00138,1,25,51,3,69.1,0.351,0.286,Platinum,Apparel,1
P00139,1,15,49,7,9,0.535,0.26,None,Electronics,1
P00140,0,0,86,5,30.61,0.497,0.234,Platinum,Home,0
P00141,0,0,13,8,52.31,0.175,0.128,Gold,Beauty,1
P00142,1,25,39,7,9.14,0.537,0.478,Platinum,Apparel,1
P00143,1,10,92,3,12.94,0.705,0.553,None,Home,0
P00144,1,20,34,3,39.99,0.44,0.119,Platinum,Grocery,1
P00145,0,0,31,3,50.36,0.347,0.238,Gold,Home,0
P00146,0,0,86,7,9,0.571,0.345,Silver,Electronics,0
P00147,0,0,109,3,51.47,0.607,0.238,None,Electronics,0
P00148,1,15,43,3,78.28,1,0.174,Platinum,Beauty,0
P00149,0,0,91,6,70.11,0.655,0.05,Gold,Home,0
P00150,1,15,31,8,63.73,0.856,0.525,None,Beauty,1
P00151,1,25,109,2,55.04,0.639,0.073,Gold,Electronics,0
P00152,1,20,21,6,45.92,0.83,0.105,Silver,Beauty,0
P00153,0,0,70,5,20.35,0.163,0.052,Gold,Apparel,0
P00154,1,20,5,8,73.09,0.78,0.165,Gold,Electronics,1
P00155,0,0,37,6,9,0.548,0.394,Platinum,Grocery,0
P00156,1,15,41,3,26.77,0.406,0.079,Gold,Grocery,1
P00157,0,0,100,3,66.82,0.503,0.255,None,Home,0
P00158,0,0,54,7,55.1,0.088,0.008,None,Grocery,1
P00159,0,0,36,6,62.81,0.54,0.205,None,Apparel,0
P00160,0,0,34,4,60.92,0.374,0.115,Silver,Electronics,0
P00161,0,0,42,9,99.26,0.12,0.037,Gold,Home,0
P00162,1,20,53,6,92.47,1,0.206,Silver,Home,1
P00163,1,20,29,9,13.46,0.07,0,Silver,Apparel,0
P00164,0,0,77,5,53.28,0.975,0.238,None,Grocery,0
P00165,0,0,26,6,76.37,0.465,0.403,Gold,Grocery,0
P00166,0,0,100,3,49.52,0.02,0.153,Gold,Apparel,0
P00167,0,0,15,2,67.05,0.165,0.253,Silver,Electronics,0
P00168,0,0,110,4,92.49,0.54,0.297,None,Home,0
P00169,1,20,56,3,32.81,0.331,0.375,Platinum,Electronics,1
P00170,0,0,85,6,75.15,0.779,0.233,Gold,Home,1
P00171,1,10,88,8,49.64,0.234,0.286,Platinum,Electronics,1
P00172,1,25,58,5,60.57,0.476,0.351,Silver,Grocery,1
P00173,1,20,17,6,101.75,0.188,0.17,Gold,Apparel,1
P00174,1,20,54,6,83.68,0.728,0.401,Gold,Apparel,1
P00175,1,20,25,5,65.94,0.02,0.104,Gold,Home,0
P00176,1,25,71,3,24.14,0.8,0.199,None,Grocery,0
P00177,0,0,46,4,9,0.52,0.126,None,Home,0
P00178,1,20,63,3,84,0.534,0.243,Gold,Grocery,0
P00179,0,0,81,2,89.46,0.932,0.162,Gold,Home,0
P00180,1,20,33,8,109.97,0.744,0.151,None,Beauty,1
P00181,0,0,36,2,97.77,0.09,0.388,Silver,Grocery,0
P00182,0,0,33,9,72.01,0.409,0.187,Gold,Apparel,0
P00183,0,0,89,6,42.33,0.53,0.065,Silver,Home,0
P00184,0,0,54,7,38.41,0.302,0.378,Silver,Electronics,0
P00185,0,0,52,2,48.69,0.338,0.242,Platinum,Grocery,0
P00186,0,0,31,6,56.5,1,0.078,Gold,Beauty,0
P00187,1,15,68,5,102.28,0.65,0.524,None,Grocery,0
P00188,0,0,62,8,70.54,0.293,0.232,Silver,Electronics,0
P00189,1,25,25,7,42.81,1,0.104,None,Home,0
P00190,0,0,89,4,43.64,0.505,0.128,Gold,Beauty,0
P00191,1,20,51,5,106.2,0.162,0.049,Gold,Electronics,1
P00192,1,20,107,3,115.22,0.48,0.101,Silver,Grocery,0
P00193,1,20,76,6,9,0.456,0.258,Platinum,Grocery,0
P00194,1,20,20,5,79.21,0.639,0.282,Platinum,Home,1
P00195,0,0,42,3,90.43,0.17,0.297,Platinum,Electronics,0
P00196,0,0,61,6,86.76,0.149,0.131,Platinum,Apparel,1
P00197,1,20,56,3,45.2,0.578,0.02,Platinum,Grocery,1
P00198,1,15,68,6,126.34,0.314,0.128,Silver,Apparel,1
P00199,0,0,67,6,33.82,0.165,0,Silver,Beauty,0
P00200,0,0,111,2,26.97,0.749,0.267,Silver,Electronics,0
P00201,1,25,12,9,63.24,0.239,0.006,Gold,Grocery,1
P00202,0,0,24,9,71.11,1,0.067,None,Apparel,1
P00203,1,25,26,5,57.18,0.678,0.46,Platinum,Beauty,0
P00204,1,15,99,3,11.53,0.544,0.263,Gold,Apparel,0
P00205,1,20,58,4,26.47,0.536,0,Platinum,Electronics,1
P00206,1,10,27,5,88.07,0.423,0.325,Silver,Grocery,0
P00207,1,15,16,5,27.1,0.066,0.454,Gold,Electronics,1
P00208,0,0,29,5,60.86,0.143,0.101,Platinum,Beauty,1
P00209,1,15,40,3,42.93,0.255,0.301,Platinum,Electronics,0
P00210,1,25,56,5,90.73,0.661,0.245,Gold,Grocery,0
P00211,1,10,48,7,114.79,0.645,0.492,Silver,Electronics,0
P00212,1,15,32,6,86.75,0.23,0.097,Platinum,Grocery,1
P00213,0,0,93,2,49.48,0.596,0.17,Gold,Apparel,0
P00214,0,0,19,6,58.68,0.429,0.282,None,Home,0
P00215,0,0,84,3,62.96,0.623,0.196,Platinum,Beauty,0
P00216,1,15,24,6,54.37,0.701,0.113,Gold,Beauty,0
P00217,1,15,21,6,75.41,0.449,0.231,Silver,Electronics,0
P00218,1,20,55,4,45.28,0.634,0,None,Apparel,1
P00219,1,20,37,8,113,0.493,0.284,Silver,Home,0
P00220,1,10,107,4,70.48,0.337,0.188,Gold,Grocery,0
P00221,0,0,32,6,98.43,0.619,0.054,Silver,Electronics,0
P00222,0,0,101,4,88.54,0.354,0.23,Platinum,Home,0
P00223,0,0,18,4,18.55,0.803,0.289,Platinum,Grocery,0
P00224,1,15,29,7,48.45,0.55,0.061,Silver,Home,1
P00225,1,10,57,2,44.34,0.182,0,Gold,Apparel,1
P00226,0,0,27,6,67.1,1,0.343,None,Home,0
P00227,1,25,16,5,43.03,0.825,0.223,Silver,Home,0
P00228,0,0,29,7,28.26,0.509,0.084,Silver,Apparel,0
P00229,0,0,3,8,71.91,0.476,0.19,Silver,Apparel,0
P00230,0,0,94,1,95.76,0.4,0.183,Silver,Grocery,0
P00231,1,15,77,3,70.29,0.576,0.178,Gold,Electronics,1
P00232,0,0,95,6,47.03,0.205,0.192,Gold,Home,1
P00233,0,0,80,4,59.18,0.319,0.182,Platinum,Beauty,0
P00234,0,0,93,2,36.28,0.533,0.375,Platinum,Home,0
P00235,0,0,18,8,48.78,0.35,0.195,Platinum,Home,1
P00236,0,0,65,4,47.44,0.732,0.138,Gold,Home,0
P00237,0,0,41,3,80.79,0.487,0.271,Silver,Beauty,0
P00238,1,20,20,10,37.05,0.388,0.32,None,Home,0
P00239,0,0,43,5,48.42,0.588,0.141,Platinum,Home,0
P00240,0,0,8,6,21.4,0.402,0.295,Silver,Electronics,1
P00241,0,0,109,1,95.28,0.65,0.291,None,Home,0
P00242,1,10,91,7,64.17,0.267,0.195,Silver,Apparel,1
P00243,0,0,14,5,76.97,0.253,0.174,Silver,Electronics,0
P00244,1,10,107,1,117.56,0.325,0.133,Gold,Home,0
P00245,1,15,68,6,72.08,0.851,0.361,None,Home,0
P00246,1,15,74,4,102.94,0.352,0.379,None,Beauty,1
P00247,1,15,79,2,59.5,0.526,0.27,None,Electronics,0
P00248,1,15,42,7,67.29,0.197,0.148,Gold,Home,1
P00249,0,0,74,2,35.61,0.398,0.083,Silver,Electronics,0
P00250,0,0,83,3,78.42,0.287,0.585,Gold,Beauty,1
P00251,0,0,44,7,34.8,0.647,0.277,Platinum,Grocery,1
P00252,1,10,56,5,34.48,0.183,0.228,None,Grocery,1
P00253,1,25,5,7,75.74,0.02,0.095,Gold,Beauty,1
P00254,1,20,41,4,27.21,0.145,0.033,Platinum,Apparel,1
P00255,0,0,32,4,118.33,0.328,0,Platinum,Apparel,0
P00256,1,15,80,4,63.25,0.101,0.244,Gold,Home,0
P00257,1,25,38,8,40.9,0.945,0.372,Silver,Apparel,1
P00258,0,0,111,6,40.04,0.323,0.225,None,Electronics,1
P00259,0,0,34,7,35.42,0.589,0.153,Gold,Home,0
P00260,1,10,4,9,80.78,0.386,0.033,Gold,Apparel,1
P00261,1,15,47,4,95.12,0.714,0.101,Silver,Home,0
P00262,1,10,19,7,52.4,0.555,0.113,None,Home,1
P00263,1,10,66,7,110.25,0.343,0.406,Silver,Grocery,1
P00264,1,10,100,5,82.45,0.549,0.116,Gold,Apparel,1
P00265,0,0,39,6,91.14,0.617,0.224,Platinum,Electronics,0
P00266,1,20,59,5,98.56,0.431,0.198,None,Home,0
P00267,1,10,36,7,75.72,0.177,0.358,Platinum,Beauty,1
P00268,1,25,15,4,85.17,0.51,0.143,Platinum,Home,0
P00269,0,0,110,4,70.65,0.379,0.348,None,Home,0
P00270,1,20,64,2,92.69,0.533,0.184,Silver,Electronics,1
P00271,1,25,53,3,98.23,0.396,0.183,Platinum,Grocery,0
P00272,1,10,21,7,97.58,0.677,0.324,Gold,Grocery,1
P00273,0,0,13,6,60.3,0.131,0.132,None,Home,0
P00274,1,10,28,7,76.66,0.353,0.047,Silver,Apparel,0
P00275,0,0,90,2,39.62,0.751,0.043,None,Grocery,0
P00276,0,0,26,6,83.04,0.272,0.408,Platinum,Grocery,0
P00277,1,10,99,3,95.49,0.861,0.226,Platinum,Home,1
P00278,0,0,10,4,110.19,0.02,0.17,Platinum,Electronics,0
P00279,0,0,57,9,44.67,0.622,0.258,Platinum,Electronics,1
P00280,1,10,11,9,111.75,0.742,0.1,Silver,Beauty,0
P00281,0,0,78,6,111.78,0.502,0.049,Gold,Apparel,0
P00282,0,0,14,8,28.57,0.49,0.179,Gold,Grocery,0
P00283,1,20,68,3,9,0.675,0.291,Gold,Apparel,0
P00284,0,0,43,7,79.63,0.63,0.3,None,Grocery,0
P00285,1,10,24,4,38.53,0.581,0,Silver,Electronics,0
P00286,0,0,42,8,58.71,0.357,0.212,Gold,Home,0
P00287,0,0,63,6,62.22,0.456,0.212,None,Apparel,0
P00288,0,0,74,8,25.79,0.786,0.216,None,Electronics,0
P00289,1,10,3,5,72.94,0.275,0.176,Platinum,Beauty,1
P00290,0,0,57,5,48.07,0.596,0.325,Silver,Beauty,0
P00291,1,10,77,5,105.81,0.144,0.423,None,Apparel,1
P00292,1,15,90,3,57.39,0.322,0.14,Silver,Electronics,0
P00293,0,0,76,3,63.75,0.641,0.21,None,Beauty,0
P00294,0,0,79,3,83.23,0.492,0,Gold,Apparel,0
P00295,1,10,78,5,92.63,0.425,0.258,None,Beauty,1
P00296,1,20,65,7,9,0.418,0.358,Silver,Apparel,1
P00297,1,25,65,1,91.98,0.597,0.415,Platinum,Grocery,1
P00298,1,20,105,3,68.11,0.681,0.101,None,Apparel,0
P00299,0,0,99,5,63.49,0.942,0.054,None,Grocery,0
P00300,1,20,31,9,75.22,0.605,0.234,Gold,Apparel,1
P00301,0,0,89,5,31.67,0.59,0.3,Platinum,Electronics,0
P00302,0,0,90,5,60.8,0.02,0.037,Gold,Home,0
P00303,1,25,96,5,107.32,0.756,0.108,None,Home,0
P00304,0,0,99,5,88.34,0.145,0.024,None,Apparel,0
P00305,0,0,17,9,86.83,0.669,0,None,Beauty,0
P00306,0,0,48,3,60.57,0.113,0.169,Gold,Apparel,0
P00307,0,0,33,8,43.98,0.106,0.017,Silver,Electronics,0
P00308,0,0,42,5,55.01,0.232,0.459,Silver,Beauty,0
P00309,0,0,13,7,58.24,0.197,0.218,None,Apparel,1
P00310,1,20,55,3,17.48,0.681,0.024,None,Apparel,0
P00311,1,20,70,4,31.75,0.673,0.138,Silver,Home,0
P00312,1,20,13,8,92.32,0.393,0.259,Platinum,Home,1
P00313,1,10,25,4,68.79,0.224,0.242,Silver,Beauty,0
P00314,1,10,58,4,46.43,0.479,0.139,Silver,Electronics,0
P00315,1,20,65,3,44.13,0.543,0.175,Platinum,Electronics,0
P00316,1,20,24,4,61.74,0.75,0.281,None,Beauty,1
P00317,1,10,24,8,73.48,0.393,0.245,Silver,Apparel,0
P00318,1,15,109,5,64.37,0.335,0.341,Platinum,Electronics,1
P00319,0,0,87,2,73.28,0.555,0.239,Platinum,Grocery,0
P00320,0,0,65,7,23.38,0.716,0.122,None,Apparel,0
P00321,0,0,22,5,110.41,0.723,0.271,Platinum,Grocery,0
P00322,1,20,8,3,48.57,0.354,0.231,None,Electronics,0
P00323,1,10,42,8,9.98,0.988,0.295,None,Beauty,1
P00324,0,0,71,4,38.07,0.737,0.223,Silver,Home,0
P00325,1,10,46,4,70.68,0.352,0,Platinum,Electronics,1
P00326,0,0,98,7,68.61,0.801,0.125,Silver,Beauty,1
P00327,1,20,12,6,40.25,1,0.062,Silver,Grocery,0
P00328,0,0,11,7,65.11,0.437,0.082,None,Beauty,1
P00329,0,0,52,6,61.58,0.52,0.092,Silver,Electronics,0
P00330,0,0,39,8,84.02,0.259,0.118,Gold,Beauty,1
P00331,0,0,23,6,45.58,1,0.305,None,Beauty,0
P00332,0,0,19,5,75.33,0.46,0.235,None,Electronics,0
P00333,0,0,13,7,52.42,0.02,0.36,Silver,Apparel,0
P00334,1,10,29,7,67.32,0.06,0.043,Gold,Grocery,1
P00335,0,0,4,7,21.78,0.944,0.401,Gold,Grocery,1
P00336,0,0,70,3,43.99,0.693,0.153,None,Beauty,0
P00337,1,10,66,7,28.35,0.786,0.14,Gold,Beauty,0
P00338,1,25,70,5,72.42,0.409,0.309,Silver,Apparel,0
P00339,0,0,99,2,14.26,0.762,0.199,Platinum,Home,0
P00340,1,25,57,2,48.23,0.222,0.248,Silver,Beauty,0
P00341,0,0,87,2,45.55,0.393,0.061,Gold,Electronics,0
P00342,0,0,59,4,56.19,0.983,0.105,Silver,Electronics,0
P00343,0,0,109,5,122.55,0.18,0.243,Silver,Home,0
P00344,1,10,11,6,79.69,0.536,0.494,Platinum,Apparel,1
P00345,0,0,9,5,90.86,0.747,0.299,Silver,Electronics,0
P00346,0,0,93,4,88.72,0.243,0.117,Silver,Apparel,0
P00347,0,0,84,3,19.48,0.41,0.362,Gold,Apparel,0
P00348,1,10,41,6,89.8,0.295,0.463,Platinum,Electronics,1
P00349,1,15,10,7,42.08,0.02,0.212,Platinum,Apparel,1
P00350,1,15,55,4,9,0.379,0.217,Silver,Electronics,1
P00351,0,0,19,8,47.54,0.519,0,Silver,Home,1
P00352,1,10,47,5,48.98,0.183,0.036,Gold,Apparel,0
P00353,0,0,22,5,44.8,0.571,0.25,Platinum,Electronics,0
P00354,0,0,14,5,75.85,0.02,0,None,Home,0
P00355,1,15,37,7,9.37,0.933,0,None,Grocery,0
P00356,1,20,34,6,58.1,0.889,0.195,Gold,Grocery,0
P00357,1,25,42,3,43.28,1,0.112,Platinum,Apparel,1
P00358,1,20,51,6,125.71,0.513,0.095,Gold,Beauty,1
P00359,1,25,20,6,87.94,0.663,0.258,Silver,Beauty,0
P00360,1,20,107,5,73.45,0.691,0.217,Platinum,Electronics,0
P00361,1,10,84,4,86.64,0.096,0.369,None,Home,1
P00362,0,0,37,6,83.75,0.588,0.273,Platinum,Beauty,0
P00363,1,10,104,4,81.93,0.551,0.242,None,Apparel,0
P00364,1,10,90,6,34.4,0.184,0.119,Platinum,Electronics,1
P00365,0,0,3,8,54.08,0.02,0.161,Gold,Grocery,0
P00366,0,0,8,6,85.04,0.598,0.133,Platinum,Home,0
P00367,1,20,4,5,45.21,0.661,0.379,Silver,Beauty,0
P00368,0,0,111,4,88.68,0.398,0.02,Platinum,Grocery,0
P00369,0,0,66,7,46.99,0.232,0.271,Gold,Apparel,1
P00370,1,15,92,4,40.51,0.324,0.191,None,Grocery,0
P00371,0,0,92,6,44.1,0.075,0.152,Silver,Electronics,0
P00372,1,10,88,5,79.9,0.637,0.3,Gold,Home,1
P00373,0,0,76,8,43.06,0.597,0.182,Gold,Electronics,0
P00374,0,0,58,5,93.1,0.689,0.127,Gold,Electronics,0
P00375,0,0,98,6,63.16,0.626,0.33,None,Home,0
P00376,0,0,70,7,65.56,0.443,0.201,Platinum,Beauty,0
P00377,0,0,16,5,80.56,0.659,0.363,Platinum,Grocery,1
P00378,0,0,56,5,63.23,0.478,0.188,Platinum,Home,1
P00379,0,0,80,5,44.5,0.662,0.341,None,Electronics,0
P00380,1,20,103,5,60.52,0.48,0.371,None,Electronics,0
P00381,1,15,84,3,35.76,0.871,0.143,Silver,Home,0
P00382,0,0,47,5,91.57,0.706,0.262,None,Home,0
P00383,0,0,30,8,96.88,0.348,0.197,Silver,Electronics,1
P00384,1,15,74,3,25.75,0.02,0.05,Gold,Home,1
P00385,0,0,64,6,83.42,0.648,0.302,Silver,Grocery,0
P00386,1,25,34,4,82.99,0.331,0.154,Platinum,Beauty,1
P00387,1,10,74,2,87.99,0.246,0.004,Platinum,Beauty,0
P00388,1,10,84,6,39.88,0.597,0.314,Silver,Apparel,1
P00389,1,20,93,3,129.91,0.883,0.074,Silver,Apparel,0
P00390,0,0,109,3,84.83,0.594,0.384,None,Home,0
P00391,1,10,28,4,38.42,0.59,0.193,Gold,Home,1
P00392,0,0,106,3,46.01,0.52,0.133,Gold,Apparel,0
P00393,0,0,109,6,30.3,0.332,0.199,Silver,Beauty,0
P00394,1,10,6,6,50.72,0.449,0.091,Platinum,Home,0
P00395,0,0,111,2,105.52,0.749,0.429,Silver,Home,1
P00396,0,0,3,6,46.5,0.932,0.445,None,Grocery,0
P00397,1,20,95,4,73.17,0.62,0.23,Silver,Apparel,1
P00398,1,15,48,7,51.47,0.891,0.104,Platinum,Apparel,0
P00399,1,15,80,5,63.42,0.264,0.253,Silver,Beauty,0
P00400,0,0,15,6,34.3,0.164,0.158,None,Apparel,0
P00401,1,10,77,1,57.01,0.534,0.138,Silver,Home,0
P00402,0,0,103,6,49.97,0.393,0.034,Platinum,Electronics,0
P00403,0,0,47,6,124.7,0.02,0.256,None,Beauty,0
P00404,0,0,30,8,76.88,0.436,0.095,Platinum,Grocery,1
P00405,1,25,59,4,70.91,0.287,0.298,Gold,Beauty,0
P00406,1,20,54,8,85.44,0.264,0.257,Gold,Electronics,1
